gene	FDR	fold	add_variable	foldodwrot
SCO7262	1	1	PS04vsMGP10	1
SCO7308	1	1	PS04vsMGP10	1
SCO7345	1	1	PS04vsMGP10	1
SCO7348	1	1	PS04vsMGP10	1
SCO7349	1	1	PS04vsMGP10	1
SCO7375	1	1	PS04vsMGP10	1
SCO7386	1	1	PS04vsMGP10	1
SCO7389	1	1	PS04vsMGP10	1
SCO7392	1	1	PS04vsMGP10	1
SCO7410	1	1	PS04vsMGP10	1
SCO7450	1	1	PS04vsMGP10	1
SCO7457	1	1	PS04vsMGP10	1
SCO7499	1	1	PS04vsMGP10	1
SCO7500	1	1	PS04vsMGP10	1
SCO7503	1	1	PS04vsMGP10	1
SCO7504	1	1	PS04vsMGP10	1
SCO7513	1	1	PS04vsMGP10	1
SCO7526	1	1	PS04vsMGP10	1
SCO7532	1	1	PS04vsMGP10	1
SCO7593	1	1	PS04vsMGP10	1
SCO7598	1	1	PS04vsMGP10	1
SCO7669	1	1	PS04vsMGP10	1
SCO7670	1	1	PS04vsMGP10	1
SCO7671	1	1	PS04vsMGP10	1
SCO7675	1	1	PS04vsMGP10	1
SCO7682	1	1	PS04vsMGP10	1
SCO7683	1	1	PS04vsMGP10	1
SCO7684	1	1	PS04vsMGP10	1
SCO7685	1	1	PS04vsMGP10	1
SCO7686	1	1	PS04vsMGP10	1
SCO7687	1	1	PS04vsMGP10	1
SCO7737	1	1	PS04vsMGP10	1
SCO7739	1	1	PS04vsMGP10	1
SCO7761	1	1	PS04vsMGP10	1
SCO7799	1	1	PS04vsMGP10	1
SCO7820	1	1	PS04vsMGP10	1
SCO7834	1	1	PS04vsMGP10	1
SCO7839	1	1	PS04vsMGP10	1
SCO7841	1	1	PS04vsMGP10	1
SCO0007	1	1	PS04vsMGP10	1
SCO0066	1	1	PS04vsMGP10	1
SCO0067	1	1	PS04vsMGP10	1
SCO0112	1	1	PS04vsMGP10	1
SCO0122	1	1	PS04vsMGP10	1
SCO0318	1	1	PS04vsMGP10	1
SCO0362	1	1	PS04vsMGP10	1
SCO0377	1	1	PS04vsMGP10	1
SCO0417	1	1	PS04vsMGP10	1
SCO0418	1	1	PS04vsMGP10	1
SCO0517	1	1	PS04vsMGP10	1
SCO0553	1	1	PS04vsMGP10	1
SCO0601	1	1	PS04vsMGP10	1
SCO0625	1	1	PS04vsMGP10	1
SCO0626	1	1	PS04vsMGP10	1
SCO0629	1	1	PS04vsMGP10	1
SCO0653	1	1	PS04vsMGP10	1
SCO0661	1	1	PS04vsMGP10	1
SCO0699	1	1	PS04vsMGP10	1
SCO0707	1	1	PS04vsMGP10	1
SCO0785	1	1	PS04vsMGP10	1
SCO0895	1	1	PS04vsMGP10	1
SCO0899	1	1	PS04vsMGP10	1
SCO0941	1	1	PS04vsMGP10	1
SCO0950	1	1	PS04vsMGP10	1
SCO0951	1	1	PS04vsMGP10	1
SCO0956	1	1	PS04vsMGP10	1
SCO0992	1	1	PS04vsMGP10	1
SCO1045	1	1	PS04vsMGP10	1
SCO1219	1	1	PS04vsMGP10	1
SCO1257	1	1	PS04vsMGP10	1
SCO1265	1	1	PS04vsMGP10	1
SCO1267	1	1	PS04vsMGP10	1
SCO1280	1	1	PS04vsMGP10	1
SCO1286	1	1	PS04vsMGP10	1
SCO1350	1	1	PS04vsMGP10	1
SCO1693	1	1	PS04vsMGP10	1
SCO1707	1	1	PS04vsMGP10	1
SCO1735	1	1	PS04vsMGP10	1
SCO1881	1	1	PS04vsMGP10	1
SCO1885	1	1	PS04vsMGP10	1
SCO1896	1	1	PS04vsMGP10	1
SCO2033	1	1	PS04vsMGP10	1
SCO2056	1	1	PS04vsMGP10	1
SCO2192	1	1	PS04vsMGP10	1
SCO2413	1	1	PS04vsMGP10	1
SCO2419	1	1	PS04vsMGP10	1
SCO2542	1	1	PS04vsMGP10	1
SCO2659	1	1	PS04vsMGP10	1
SCO2701	1	1	PS04vsMGP10	1
SCO2854	1	1	PS04vsMGP10	1
SCO3222	1	1	PS04vsMGP10	1
SCO3239	1	1	PS04vsMGP10	1
SCO3247	1	1	PS04vsMGP10	1
SCO3265	1	1	PS04vsMGP10	1
SCO3491	1	1	PS04vsMGP10	1
SCO3520	1	1	PS04vsMGP10	1
SCO3530	1	1	PS04vsMGP10	1
SCO3689	1	1	PS04vsMGP10	1
SCO3730	1	1	PS04vsMGP10	1
SCO3935	1	1	PS04vsMGP10	1
SCO4250	1	1	PS04vsMGP10	1
SCO4405	1	1	PS04vsMGP10	1
SCO4619	1	1	PS04vsMGP10	1
SCO4760	1	1	PS04vsMGP10	1
SCO4879	1	1	PS04vsMGP10	1
SCO4892	1	1	PS04vsMGP10	1
SCO5002	1	1	PS04vsMGP10	1
SCO5051	1	1	PS04vsMGP10	1
SCO5176	1	1	PS04vsMGP10	1
SCO5326	1	1	PS04vsMGP10	1
SCO5345	1	1	PS04vsMGP10	1
SCO5453	1	1	PS04vsMGP10	1
SCO5673	1	1	PS04vsMGP10	1
SCO5681	1	1	PS04vsMGP10	1
SCO5885	1	1	PS04vsMGP10	1
SCO5923	1	1	PS04vsMGP10	1
SCO5946	1	1	PS04vsMGP10	1
SCO5963	1	1	PS04vsMGP10	1
SCO5983	1	1	PS04vsMGP10	1
SCO5988	1	1	PS04vsMGP10	1
SCO6215	1	1	PS04vsMGP10	1
SCO6268	1	1	PS04vsMGP10	1
SCO6353	1	1	PS04vsMGP10	1
SCO6432	1	1	PS04vsMGP10	1
SCO6434	1	1	PS04vsMGP10	1
SCO6779	1	1	PS04vsMGP10	1
SCO6785	1	1	PS04vsMGP10	1
SCO6821	1	1	PS04vsMGP10	1
SCO6827	1	1	PS04vsMGP10	1
SCO6859	1	1	PS04vsMGP10	1
SCO6920	1	1	PS04vsMGP10	1
SCO6929	1	1	PS04vsMGP10	1
SCO6937	1	1	PS04vsMGP10	1
SCO6945	1	1	PS04vsMGP10	1
SCO6955	1	1	PS04vsMGP10	1
SCO6987	1	1	PS04vsMGP10	1
SCO7006	1	1	PS04vsMGP10	1
SCO7031	1	1	PS04vsMGP10	1
SCO7037	1	1	PS04vsMGP10	1
SCO7120	1	1	PS04vsMGP10	1
SCO7169	1	1	PS04vsMGP10	1
SCO7184	1	1	PS04vsMGP10	1
SCO7245	1	1	PS04vsMGP10	1
SCO7408	1	1	PS04vsMGP10	1
SCO7488	1	1	PS04vsMGP10	1
SCO7545	1	1	PS04vsMGP10	1
SCO7659	1	1	PS04vsMGP10	1
SCO7689	1	1	PS04vsMGP10	1
SCO7760	1	1	PS04vsMGP10	1
SCO7826	1	1	PS04vsMGP10	1
SCO7840	1	1	PS04vsMGP10	1
SCO0045	1	2	PS04vsMGP10	0,5
SCO0074	1	2	PS04vsMGP10	0,5
SCO0109	1	2	PS04vsMGP10	0,5
SCO0156	1	2	PS04vsMGP10	0,5
SCO0303	1	2	PS04vsMGP10	0,5
SCO0311	1	2	PS04vsMGP10	0,5
SCO0359	1	2	PS04vsMGP10	0,5
SCO0386	1	2	PS04vsMGP10	0,5
SCO0424	1	2	PS04vsMGP10	0,5
SCO0431	1	2	PS04vsMGP10	0,5
SCO0549	1	2	PS04vsMGP10	0,5
SCO0831	1	2	PS04vsMGP10	0,5
SCO0842	1	2	PS04vsMGP10	0,5
SCO0866	1	2	PS04vsMGP10	0,5
SCO0892	1	2	PS04vsMGP10	0,5
SCO0952	1	2	PS04vsMGP10	0,5
SCO0994	1	2	PS04vsMGP10	0,5
SCO1004	1	2	PS04vsMGP10	0,5
SCO1272	1	2	PS04vsMGP10	0,5
SCO1273	1	2	PS04vsMGP10	0,5
SCO1277	1	2	PS04vsMGP10	0,5
SCO1330	1	2	PS04vsMGP10	0,5
SCO1356	1	2	PS04vsMGP10	0,5
SCO1379	1	2	PS04vsMGP10	0,5
SCO1467	1	2	PS04vsMGP10	0,5
SCO1888	1	2	PS04vsMGP10	0,5
SCO1891	1	2	PS04vsMGP10	0,5
SCO2218	1	2	PS04vsMGP10	0,5
SCO2221	1	2	PS04vsMGP10	0,5
SCO2416	1	2	PS04vsMGP10	0,5
SCO2642	1	2	PS04vsMGP10	0,5
SCO2700	1	2	PS04vsMGP10	0,5
SCO3212	1	2	PS04vsMGP10	0,5
SCO3241	1	2	PS04vsMGP10	0,5
SCO3245	1	2	PS04vsMGP10	0,5
SCO3264	1	2	PS04vsMGP10	0,5
SCO3523	1	2	PS04vsMGP10	0,5
SCO3598	1	2	PS04vsMGP10	0,5
SCO3783	1	2	PS04vsMGP10	0,5
SCO3842	1	2	PS04vsMGP10	0,5
SCO4021	1	2	PS04vsMGP10	0,5
SCO4023	1	2	PS04vsMGP10	0,5
SCO4406	1	2	PS04vsMGP10	0,5
SCO4552	1	2	PS04vsMGP10	0,5
SCO4878	1	2	PS04vsMGP10	0,5
SCO5120	1	2	PS04vsMGP10	0,5
SCO5446	1	2	PS04vsMGP10	0,5
SCO5764	1	2	PS04vsMGP10	0,5
SCO6250	1	2	PS04vsMGP10	0,5
SCO6290	1	2	PS04vsMGP10	0,5
SCO6300	1	2	PS04vsMGP10	0,5
SCO6364	1	2	PS04vsMGP10	0,5
SCO6651	1	2	PS04vsMGP10	0,5
SCO6689	1	2	PS04vsMGP10	0,5
SCO6737	1	2	PS04vsMGP10	0,5
SCO6817	1	2	PS04vsMGP10	0,5
SCO6934	1	2	PS04vsMGP10	0,5
SCO7121	1	2	PS04vsMGP10	0,5
SCO7145	1	2	PS04vsMGP10	0,5
SCO7183	1	2	PS04vsMGP10	0,5
SCO7668	1	2	PS04vsMGP10	0,5
SCO7674	1	2	PS04vsMGP10	0,5
SCO7677	1	2	PS04vsMGP10	0,5
SCO0920	1	3	PS04vsMGP10	0,333333333
SCO0984	1	3	PS04vsMGP10	0,333333333
SCO1268	1	3	PS04vsMGP10	0,333333333
SCO1269	1	3	PS04vsMGP10	0,333333333
SCO1756	1	3	PS04vsMGP10	0,333333333
SCO2408	1	3	PS04vsMGP10	0,333333333
SCO2543	1	3	PS04vsMGP10	0,333333333
SCO2956	1	3	PS04vsMGP10	0,333333333
SCO3004	1	3	PS04vsMGP10	0,333333333
SCO3454	1	3	PS04vsMGP10	0,333333333
SCO3742	1	3	PS04vsMGP10	0,333333333
SCO4501	1	3	PS04vsMGP10	0,333333333
SCO4663	1	3	PS04vsMGP10	0,333333333
SCO4664	1	3	PS04vsMGP10	0,333333333
SCO5615	1	3	PS04vsMGP10	0,333333333
SCO6161	1	3	PS04vsMGP10	0,333333333
SCO6557	1	3	PS04vsMGP10	0,333333333
SCO6569	1	3	PS04vsMGP10	0,333333333
SCO6571	1	3	PS04vsMGP10	0,333333333
SCO6700	1	3	PS04vsMGP10	0,333333333
SCO6798	1	3	PS04vsMGP10	0,333333333
SCO7161	1	3	PS04vsMGP10	0,333333333
SCO0133	1	4	PS04vsMGP10	0,25
SCO0354	1	4	PS04vsMGP10	0,25
SCO0356	1	4	PS04vsMGP10	0,25
SCO0616	1	4	PS04vsMGP10	0,25
SCO1040	1	4	PS04vsMGP10	0,25
SCO2704	1	4	PS04vsMGP10	0,25
SCO3464	1	4	PS04vsMGP10	0,25
SCO3529	1	4	PS04vsMGP10	0,25
SCO4249	1	4	PS04vsMGP10	0,25
SCO6055	1	4	PS04vsMGP10	0,25
SCO6074	1	4	PS04vsMGP10	0,25
SCO6285	1	4	PS04vsMGP10	0,25
SCO6941	1	4	PS04vsMGP10	0,25
SCO0046	1	5	PS04vsMGP10	0,2
SCO0617	1	5	PS04vsMGP10	0,2
SCO0649	1	5	PS04vsMGP10	0,2
SCO2744	1	5	PS04vsMGP10	0,2
SCO3211	1	5	PS04vsMGP10	0,2
SCO3379	1	5	PS04vsMGP10	0,2
SCO3987	1	5	PS04vsMGP10	0,2
SCO6708	1	5	PS04vsMGP10	0,2
SCO7313	1	5	PS04vsMGP10	0,2
SCO0592	1	6	PS04vsMGP10	0,166666667
SCO1203	1	6	PS04vsMGP10	0,166666667
SCO1862	1	6	PS04vsMGP10	0,166666667
SCO3755	1	6	PS04vsMGP10	0,166666667
SCO3984	1	6	PS04vsMGP10	0,166666667
SCO4841	1	6	PS04vsMGP10	0,166666667
SCO6093	1	6	PS04vsMGP10	0,166666667
SCO3461	1	7	PS04vsMGP10	0,142857143
SCO7403	1	7	PS04vsMGP10	0,142857143
SCO4665	1	8	PS04vsMGP10	0,125
SCO7011	1	8	PS04vsMGP10	0,125
SCO0258	1	9	PS04vsMGP10	0,111111111
SCO3271	1	10	PS04vsMGP10	0,1
SCO3863	1	12	PS04vsMGP10	0,083333333
SCO6352	1	12	PS04vsMGP10	0,083333333
SCO3701	1	14	PS04vsMGP10	0,071428571
SCO0218	1	17	PS04vsMGP10	0,058823529
SCO0219	1	32	PS04vsMGP10	0,03125
predicted RNA	1	215	PS04vsMGP10	0,004651163
SCO0005	1	1	PS04vsMGP10	1
SCO0017	1	1	PS04vsMGP10	1
SCO0019	1	1	PS04vsMGP10	1
SCO0033	1	1	PS04vsMGP10	1
SCO0036	1	1	PS04vsMGP10	1
SCO0065	1	1	PS04vsMGP10	1
SCO0095	1	1	PS04vsMGP10	1
SCO0131	1	1	PS04vsMGP10	1
SCO0182	1	1	PS04vsMGP10	1
SCO0293	1	1	PS04vsMGP10	1
SCO0314	1	1	PS04vsMGP10	1
SCO0338	1	1	PS04vsMGP10	1
SCO0341	1	1	PS04vsMGP10	1
SCO0371	1	1	PS04vsMGP10	1
SCO0507	1	1	PS04vsMGP10	1
SCO0554	1	1	PS04vsMGP10	1
SCO0656	1	1	PS04vsMGP10	1
SCO0658	1	1	PS04vsMGP10	1
SCO0674	1	1	PS04vsMGP10	1
SCO0809	1	1	PS04vsMGP10	1
SCO0810	1	1	PS04vsMGP10	1
SCO0811	1	1	PS04vsMGP10	1
SCO0931	1	1	PS04vsMGP10	1
SCO0936	1	1	PS04vsMGP10	1
SCO1032	1	1	PS04vsMGP10	1
SCO1042	1	1	PS04vsMGP10	1
SCO1057	1	1	PS04vsMGP10	1
SCO1159	1	1	PS04vsMGP10	1
SCO1160	1	1	PS04vsMGP10	1
SCO1161	1	1	PS04vsMGP10	1
SCO1266	1	1	PS04vsMGP10	1
SCO1275	1	1	PS04vsMGP10	1
SCO1368	1	1	PS04vsMGP10	1
SCO1536	1	1	PS04vsMGP10	1
SCO1564	1	1	PS04vsMGP10	1
SCO1612	1	1	PS04vsMGP10	1
SCO1722	1	1	PS04vsMGP10	1
SCO1887	1	1	PS04vsMGP10	1
SCO1898	1	1	PS04vsMGP10	1
SCO2016	1	1	PS04vsMGP10	1
SCO2145	1	1	PS04vsMGP10	1
SCO2286	1	1	PS04vsMGP10	1
SCO2409	1	1	PS04vsMGP10	1
