"product" "gene" "start" "end" "strand"
"122" "GNAT family N-acetyltransferase" "vnz_00630" 139377 139949 "-"
"123" "VOC family protein" "vnz_00635" 140069 140506 "+"
"124" "catalase" "vnz_00640" 140917 142437 "+"
"125" "mechanosensitive ion channel" "vnz_00645" 142600 143742 "-"
"126" "glutathione S-transferase C-terminaldomain-containing protein" "vnz_00650" 143845 144840 "-"
"127" "YihY/virulence factor BrkB family protein" "vnz_00655" 144830 145954 "-"
"128" "PQQ-binding-like beta-propeller repeat protein" "vnz_00660" 146094 147683 "+"
"129" "SMI1/KNR4 family protein" "vnz_00665" 147702 148289 "-"
"130" "hypothetical protein" "vnz_00670" 148447 148935 "+"
"131" "hypothetical protein" "vnz_00675" 149032 149586 "+"
"132" "hypothetical protein" "vnz_00680" 149583 150764 "+"
"133" "trypsin-like serine protease" "vnz_00685" 150845 152896 "-"
"134" "hypothetical protein" "vnz_00690" 153417 157514 "+"
"135" "hypothetical protein" "vnz_00695" 157516 157983 "+"
"136" "LysR family transcriptional regulator" "vnz_00700" 158103 158957 "-"
"137" "EamA family transporter" "vnz_00705" 159027 159914 "+"
"138" "mycothione reductase" "vnz_00710" 159989 161356 "+"
"139" "flavin reductase" "vnz_00715" 161454 161900 "+"
"140" "MarR family transcriptional regulator" "vnz_00720" 161951 162349 "-"
"141" "NADH:flavin oxidoreductase" "vnz_00725" 162520 163647 "+"
"142" "transcriptional regulator" "vnz_00735" 166201 167373 "+"
"143" "response regulator transcription factor" "vnz_00740" 167348 168010 "+"
"144" "acyl-CoA thioesterase" "vnz_00745" 168262 168627 "+"
"145" "TetR/AcrR family transcriptional regulator" "vnz_00750" 168671 169384 "-"
"146" "amidase" "vnz_00755" 169546 171282 "+"
"147" "ABC transporter substrate-binding protein" "vnz_00760" 171650 172717 "+"
"148" "iron chelate uptake ABC transporter familypermease subunit" "vnz_00765" 172771 173817 "+"
"149" "ABC transporter ATP-binding protein" "vnz_00770" 173814 174659 "+"
"150" "ABC transporter ATP-binding protein" "vnz_00775" 174767 175402 "+"
"151" "metal ABC transporter permease" "vnz_00780" 175399 176277 "+"
"152" "zinc ABC transporter solute-binding protein" "vnz_00785" 176226 177035 "+"
"153" "acyl--CoA ligase" "vnz_00790" 177086 178747 "-"
"154" "CoA transferase" "vnz_00795" 178744 180531 "-"
"155" "acyl-CoA dehydrogenase family protein" "vnz_00800" 180705 181880 "+"
"156" "hypothetical protein" "vnz_00805" 181867 182967 "-"
"157" "MFS transporter" "vnz_00810" 182964 184094 "-"
"158" "hypothetical protein" "vnz_00815" 184390 185178 "+"
"159" "sigma-70 family RNA polymerase sigma factor" "vnz_00820" 185331 186029 "+"
"160" "MFS transporter" "vnz_00825" 186229 187428 "+"
"161" "heme-binding protein" "vnz_00830" 187514 187933 "+"
"162" "aldo/keto reductase" "vnz_00835" 187984 188808 "+"
"163" "NAD(P)-dependent oxidoreductase" "vnz_00840" 188903 189793 "+"
"164" "TetR/AcrR family transcriptional regulator" "vnz_00845" 189806 190447 "-"
"165" "winged helix DNA-binding protein" "vnz_00850" 190602 191087 "+"
"166" "alpha-hydroxy-acid oxidizing protein" "vnz_00855" 191088 192260 "-"
"167" "hypothetical protein" "vnz_00860" 192443 193552 "-"
"168" "pectate lyase" "vnz_00865" 193681 195753 "-"
"169" "NPP1 family protein" "vnz_00870" 195936 196754 "-"
"170" "TetR family transcriptional regulator C-terminaldomain-containing protein" "vnz_00875" 196790 197356 "-"
"171" "FAD-dependent monooxygenase" "vnz_00880" 197462 198712 "+"
"172" "macrolide-inactivating glycosyltransferase" "vnz_00885" 198765 199967 "+"
"173" "protein translocase subunit SecD" "vnz_00890" 200106 202448 "-"
"174" "1-acyl-sn-glycerol-3-phosphate acyltransferase" "vnz_00900" 203199 203873 "+"
"175" "cupin domain-containing protein" "vnz_00905" 204054 204761 "+"
"176" "hypothetical protein" "vnz_00910" 204758 205825 "+"
"177" "hypothetical protein" "vnz_00915" 205933 206919 "+"
"178" "hypothetical protein" "vnz_00920" 207003 207860 "+"
"179" "hypothetical protein" "vnz_00925" 207904 208461 "+"
"180" "asparagine synthase" "vnz_00930" 208607 210319 "+"
"181" "aldehyde dehydrogenase family protein" "vnz_00935" 210354 211733 "+"
"182" "dienelactone hydrolase family protein" "vnz_00940" 211986 212879 "+"
"183" "LuxR family transcriptional regulator" "vnz_00945" 212979 215699 "+"
"184" "class I SAM-dependent methyltransferase" "vnz_00950" 215624 216271 "+"
"185" "NUDIX domain-containing protein" "vnz_00955" 216268 216735 "-"
"186" "glutaminase" "vnz_00960" 216846 217775 "-"
"187" "enoyl-CoA hydratase/isomerase family protein" "vnz_00965" 217772 218860 "-"
"188" "GNAT family N-acetyltransferase" "vnz_00970" 219153 219836 "-"
"189" "ribonuclease HI" "vnz_00975" 220123 220836 "-"
"190" "AAA family ATPase" "vnz_00980" 220900 221817 "-"
"191" "polynucleotide kinase or ligase" "vnz_00985" 221820 223028 "-"
"192" "hypothetical protein" "vnz_00990" 223219 223530 "+"
"193" "dienelactone hydrolase family protein" "vnz_00995" 223665 224246 "+"
"194" "hypothetical protein" "vnz_01000" 224495 225631 "+"
"195" "NAD(P)H-dependent oxidoreductase" "vnz_01005" 225638 226207 "-"
"196" "pentapeptide repeat-containing protein" "vnz_01010" 226297 227676 "-"
"197" "FAD-dependent oxidoreductase" "vnz_01015" 227918 229297 "+"
"198" "hypothetical protein" "vnz_01020" 229417 230244 "-"
"199" "GNAT family N-acetyltransferase" "vnz_01025" 230456 230911 "+"
"200" "dihydrodipicolinate reductase" "vnz_01030" 230976 232055 "+"
"201" "carboxymuconolactone decarboxylase familyprotein" "vnz_01035" 232052 232540 "+"
"202" "GMC family oxidoreductase" "vnz_01040" 232637 234280 "-"
"203" "aminoglycoside nucleotidyltransferase ANT9" "vnz_01045" 234363 235139 "-"
"204" "aspartate ammonia-lyase" "vnz_01050" 235213 236646 "-"
"205" "asparaginase" "vnz_01055" 237067 238188 "-"
"206" "Lrp/AsnC family transcriptional regulator" "vnz_01060" 238307 238771 "+"
"207" "endonuclease" "vnz_01065" 238983 239786 "+"
"208" "diaminobutyrate acetyltransferase" "vnz_01070" 240176 240727 "+"
"209" "diaminobutyrate--2-oxoglutarate transaminase" "vnz_01075" 240786 242057 "+"
"210" "ectoine synthase" "vnz_01080" 242110 242526 "+"
"211" "ectoine hydroxylase" "vnz_01085" 242576 243472 "+"
"212" "RNA polymerase sigma factor SigF" "vnz_01090" 243599 244585 "-"
"213" "ATP-binding protein" "vnz_01095" 244653 245108 "+"
"214" "class I SAM-dependent methyltransferase" "vnz_01100" 245238 246029 "+"
"215" "N-formylglutamate amidohydrolase" "vnz_01105" 246081 246890 "+"
"216" "flavodoxin family protein" "vnz_01110" 247023 247754 "+"
"217" "VWA domain-containing protein" "vnz_01115" 247863 249137 "+"
"218" "hypothetical protein" "vnz_01120" 249137 249976 "+"
"219" "MFS transporter" "vnz_01125" 250071 251300 "-"
"220" "MerR family transcriptional regulator" "vnz_01130" 251362 251745 "+"
"222" "(2Fe-2S)-binding protein" "vnz_01145" 254026 254505 "-"
"223" "xanthine dehydrogenase family proteinmolybdopterin-binding subunit" "vnz_01150" 254523 256919 "-"
"224" "hypothetical protein" "vnz_01155" 257035 257331 "-"
"225" "OsmC family protein" "vnz_01160" 257561 257998 "+"
"226" "demethylmenaquinone methyltransferase" "vnz_01165" 258036 258734 "-"
"227" "APC family permease" "vnz_01170" 258847 260349 "+"
"228" "universal stress protein" "vnz_01175" 260351 260767 "+"
"229" "carboxylesterase/lipase family protein" "vnz_01180" 260782 262224 "-"
"230" "MFS transporter" "vnz_01185" 262429 263673 "-"
"231" "MerR family transcriptional regulator" "vnz_01190" 263858 264751 "-"
"232" "erythromycin esterase family protein" "vnz_01195" 264810 266012 "+"
"233" "MBL fold metallo-hydrolase" "vnz_01200" 266107 266958 "-"
"234" "hypothetical protein" "vnz_01205" 267226 267531 "+"
"235" "cupin domain-containing protein" "vnz_01210" 267562 267930 "-"
"236" "SPW repeat protein" "vnz_01215" 268226 268663 "+"
"237" "DUF805 domain-containing protein" "vnz_01220" 268854 269207 "+"
"238" "GNAT family N-acetyltransferase" "vnz_01225" 269499 270788 "+"
"239" "carbohydrate kinase" "vnz_01230" 270766 271707 "-"
"240" "YdeI/OmpD-associated family protein" "vnz_01235" 271908 272459 "+"
"241" "GNAT family N-acetyltransferase" "vnz_01240" 272479 273000 "-"
"242" "NAD(P)-binding domain-containing protein" "vnz_01245" 273109 273801 "+"
"243" "pyridoxal-phosphate dependent enzyme" "vnz_01250" 273798 274990 "-"
"244" "hypothetical protein" "vnz_01255" 275024 276031 "-"
"245" "SpoIIE family protein phosphatase" "vnz_01260" 276751 278220 "+"
"246" "hypothetical protein" "vnz_01265" 278304 279797 "-"
"247" "aminoglycoside phosphotransferase familyprotein" "vnz_01270" 280031 281158 "+"
"248" "N-acetylmuramoyl-L-alanine amidase" "vnz_01275" 281525 283444 "+"
"249" "hypothetical protein" "vnz_01280" 283605 285791 "+"
"250" "RNA-binding S4 domain-containing protein" "vnz_01285" 285901 286266 "-"
"251" "hypothetical protein" "vnz_01290" 286284 286784 "-"
"252" "AAA family ATPase" "vnz_01295" 286841 289629 "-"
"253" "ACT domain-containing protein" "vnz_01300" 290230 290649 "-"
"254" "thiolase domain-containing protein" "vnz_01305" 290683 291867 "-"
"255" "thiolase domain-containing protein" "vnz_01310" 291857 292927 "-"
"256" "OB-fold nucleic acid binding domain-containingprotein" "vnz_01315" 292924 293886 "-"
"257" "crotonase/enoyl-CoA hydratase family protein" "vnz_01320" 293949 294749 "-"
"258" "acyl-CoA synthetase" "vnz_01325" 294913 296550 "+"
"259" "VOC family protein" "vnz_01330" 296570 296983 "-"
"260" "NAD(P)-binding domain-containing protein" "vnz_01335" 297140 297805 "-"
"261" "helix-turn-helix transcriptional regulator" "vnz_01340" 297884 298234 "+"
"262" "alpha/beta hydrolase" "vnz_01345" 298275 299795 "-"
"263" "pentapeptide repeat-containing protein" "vnz_01350" 299786 300715 "+"
"264" "serine/threonine protein kinase" "vnz_01355" 300717 302696 "-"
"265" "GNAT family N-acetyltransferase" "vnz_01360" 302800 303576 "-"
"266" "cupin domain-containing protein" "vnz_01365" 303599 304153 "-"
"267" "cytochrome P450" "vnz_01370" 304200 305420 "-"
"268" "phenylacetate--CoA ligase" "vnz_01375" 305615 306904 "+"
"269" "AMP-binding protein" "vnz_01380" 306933 308438 "-"
"270" "penicillin acylase family protein" "vnz_01385" 308553 310994 "+"
"271" "ionic transporter y4hA" "vnz_01390" 311037 312134 "-"
"272" "SRPBCC family protein" "vnz_01395" 312359 313018 "-"
"273" "TetR/AcrR family transcriptional regulator" "vnz_01400" 313191 313844 "+"
"274" "GNAT family N-acetyltransferase" "vnz_01405" 313860 314591 "-"
"275" "MFS transporter" "vnz_01410" 314753 316246 "+"
"276" "AI-2E family transporter" "vnz_01415" 316281 317396 "+"
"277" "DHA2 family efflux MFS transporter permeasesubunit" "vnz_01420" 317435 318943 "-"
"278" "acyl-CoA synthetase" "vnz_01425" 319092 320642 "-"
"279" "nitronate monooxygenase" "vnz_01430" 320639 321748 "-"
"280" "serine hydrolase" "vnz_01435" 321875 323722 "+"
"281" "exo-alpha-sialidase" "vnz_01440" 323962 325971 "+"
"282" "alpha/beta fold hydrolase" "vnz_01445" 326055 326837 "-"
"283" "LysR family transcriptional regulator" "vnz_01450" 326918 327826 "-"
"284" "glycine C-acetyltransferase" "vnz_01455" 327864 329063 "-"
"285" "L-threonine 3-dehydrogenase" "vnz_01460" 329067 330101 "-"
"286" "NAD(P)/FAD-dependent oxidoreductase" "vnz_01465" 330290 331858 "-"
"287" "serine/threonine protein kinase" "vnz_01470" 332005 334566 "-"
"288" "DUF2236 domain-containing protein" "vnz_01475" 334548 335462 "-"
"289" "MerR family transcriptional regulator" "vnz_01480" 335538 335945 "-"
"290" "NAD(P)-dependent oxidoreductase" "vnz_01485" 335995 336879 "+"
"291" "acyl-CoA dehydrogenase family protein" "vnz_01490" 336934 338124 "-"
"292" "hypothetical protein" "vnz_01495" 338306 338506 "-"
"293" "siderophore-interacting protein" "vnz_01500" 338670 339527 "+"
"294" "hypothetical protein" "vnz_01505" 339573 339836 "+"
"295" "AAA family ATPase" "vnz_01510" 339865 343419 "-"
"296" "SpoIIE family protein phosphatase" "vnz_01515" 343358 345442 "+"
"297" "PHP domain-containing protein" "vnz_01520" 345484 346509 "+"
"298" "NADP-dependent succinic semialdehydedehydrogenase" "vnz_01525" 346639 348036 "-"
"299" "ThuA domain-containing protein" "vnz_01530" 348234 348932 "-"
"300" "DUF3626 domain-containing protein" "vnz_01535" 349058 349906 "+"
"301" "class II aldolase/adducin family protein" "vnz_01540" 350023 350829 "+"
"302" "helix-turn-helix transcriptional regulator" "vnz_01545" 350869 351513 "-"
"303" "ATP transporter ATP-binding protein/permease" "vnz_01550" 351614 354343 "+"
"304" "hypothetical protein" "vnz_01555" 354368 355216 "+"
"305" "serine/threonine protein kinase" "vnz_01560" 355216 356199 "+"
"306" "hypothetical protein" "vnz_01565" 356634 358004 "-"
"307" "hypothetical protein" "vnz_01570" 358399 359595 "+"
"308" "PLP-dependent aminotransferase family protein" "vnz_01575" 359695 361164 "+"
"309" "FBP domain-containing protein" "vnz_01580" 361234 361737 "+"
"310" "acyl-CoA dehydrogenase family protein" "vnz_01585" 361768 362913 "-"
"311" "CoA transferase" "vnz_01590" 363100 364290 "+"
"312" "GntR family transcriptional regulator" "vnz_01595" 364372 365043 "+"
"313" "exonuclease domain-containing protein" "vnz_01600" 365134 365736 "+"
"314" "TetR family transcriptional regulator" "vnz_01605" 365786 366379 "+"
"315" "discoidin domain-containing protein" "vnz_01610" 366525 368588 "+"
"316" "YncE family protein" "vnz_01615" 368682 369971 "-"
"317" "CBS domain-containing protein" "vnz_01620" 370173 370877 "+"
"318" "SDR family NAD(P)-dependent oxidoreductase" "vnz_01625" 370909 371634 "-"
"319" "LysR family transcriptional regulator" "vnz_01630" 371739 372578 "+"
"320" "DUF1876 domain-containing protein" "vnz_01635" 372655 372954 "-"
"321" "maleylpyruvate isomerase familymycothiol-dependent enzyme" "vnz_01640" 373063 373890 "-"
"322" "diaminopimelate decarboxylase" "vnz_01645" 374184 375560 "-"
"323" "hypothetical protein" "vnz_01650" 375668 376048 "-"
"324" "type 1 glutamine amidotransferasedomain-containing protein" "vnz_01655" 376524 377219 "+"
"325" "LysR family transcriptional regulator" "vnz_01660" 377333 378283 "+"
"326" "preprotein translocase subunit SecY" "vnz_01665" 378308 379600 "-"
"327" "GNAT family N-acetyltransferase" "vnz_01670" 379759 380772 "-"
"328" "TetR family transcriptional regulator" "vnz_01675" 380826 381455 "+"
"329" "hypothetical protein" "vnz_01680" 381662 382402 "+"
"330" "hypothetical protein" "vnz_01685" 382601 384622 "+"
"331" "YihY/virulence factor BrkB family protein" "vnz_01690" 384868 385707 "+"
"332" "snapalysin family zinc-dependentmetalloprotease" "vnz_01695" 385847 386437 "+"
"333" "ATP-binding protein" "vnz_01700" 386573 389452 "-"
"334" "hypothetical protein" "vnz_01705" 389500 389973 "-"
"335" "FMN-binding glutamate synthase family protein" "vnz_01710" 390210 391802 "+"
"336" "RNA polymerase sigma factor SigF" "vnz_01715" 391885 392721 "-"
"337" "ATP-binding protein" "vnz_01720" 392953 393372 "+"
"338" "ATP-binding protein" "vnz_01725" 393405 394034 "-"
"339" "SpoIIE family protein phosphatase" "vnz_01730" 394128 395342 "-"
"340" "MarR family transcriptional regulator" "vnz_01735" 395456 395968 "+"
"341" "serine/threonine-protein phosphatase" "vnz_01740" 396091 397266 "-"
"342" "STAS domain-containing protein" "vnz_01745" 397325 397693 "-"
"343" "SpoIIE family protein phosphatase" "vnz_01750" 397773 400241 "-"
"344" "HAMP domain-containing protein" "vnz_01755" 400362 404366 "-"
"345" "hypothetical protein" "vnz_01760" 404720 404881 "-"
"346" "serine/threonine-protein phosphatase" "vnz_01765" 405413 406624 "+"
"347" "class II glutamine amidotransferase" "vnz_01770" 406657 407490 "-"
"348" "LLM class F420-dependent oxidoreductase" "vnz_01775" 407510 408475 "-"
"349" "hypothetical protein" "vnz_01780" 408554 408910 "-"
"350" "hypothetical protein" "vnz_01785" 409032 409466 "-"
"351" "gas vesicle protein K" "vnz_01790" 409538 409933 "-"
"352" "gas vesicle protein" "vnz_01795" 409867 410142 "-"
"353" "GvpL/GvpF family gas vesicle protein" "vnz_01800" 410139 411017 "-"
"354" "gas vesicle protein" "vnz_01805" 411014 411463 "-"
"355" "SRPBCC family protein" "vnz_01810" 411503 412633 "-"
"356" "hypothetical protein" "vnz_01815" 412626 413222 "-"
"357" "gas vesicle protein GvpG" "vnz_01820" 413263 413520 "-"
"358" "GvpL/GvpF family gas vesicle protein" "vnz_01825" 413567 414280 "-"
"359" "gas vesicle structural protein GvpA" "vnz_01830" 414284 414721 "-"
"360" "gas vesicle protein" "vnz_01835" 414812 415108 "-"
"361" "CBS domain-containing protein" "vnz_01840" 415346 415789 "+"
"362" "carbonic anhydrase" "vnz_01845" 416090 416734 "-"
"363" "DUF1295 domain-containing protein" "vnz_01855" 417782 418612 "-"
"364" "class I SAM-dependent methyltransferase" "vnz_01860" 418609 419892 "-"
"365" "class I SAM-dependent methyltransferase" "vnz_01865" 419889 421166 "-"
"366" "DUF1365 domain-containing protein" "vnz_01870" 421293 422033 "-"
"367" "FAD-dependent oxidoreductase" "vnz_01875" 422069 423334 "-"
"368" "anti-sigma factor" "vnz_01880" 423458 424207 "-"
"369" "ECF RNA polymerase sigma factor SigK" "vnz_01885" 424204 424869 "-"
"370" "molybdopterin-dependent oxidoreductase" "vnz_01890" 425146 426738 "+"
"371" "fasciclin domain-containing protein" "vnz_01895" 426836 427483 "+"
"372" "dihydroxyacetone kinase subunit DhaK" "vnz_01900" 427730 428722 "+"
"373" "dihydroxyacetone kinase subunit L" "vnz_01905" 428761 429390 "+"
"374" "PTS fructose transporter subunit IIA" "vnz_01910" 429387 429833 "+"
"375" "energy-coupling factor ABC transporter permease" "vnz_01915" 430160 430858 "+"
"376" "energy-coupling factor ABC transportersubstrate-binding protein" "vnz_01920" 430855 431349 "+"
"377" "cobalt ECF transporter T component CbiQ" "vnz_01925" 431356 432105 "+"
"378" "ATP-binding cassette domain-containing protein" "vnz_01930" 432105 432986 "+"
"379" "NADPH-dependent 2,4-dienoyl-CoA reductase" "vnz_01935" 433115 435130 "+"
"380" "PadR family transcriptional regulator" "vnz_01940" 435163 435699 "+"
"381" "hypothetical protein" "vnz_01945" 435718 436086 "-"
"382" "FAD-dependent monooxygenase" "vnz_01950" 436306 437700 "+"
"383" "DUF2252 domain-containing protein" "vnz_01955" 437917 439257 "-"
"384" "GntR family transcriptional regulator" "vnz_01960" 439443 440198 "+"
"385" "amino acid permease" "vnz_01965" 440308 441840 "-"
"386" "hypothetical protein" "vnz_01970" 441914 442888 "-"
"387" "carbohydrate kinase" "vnz_01975" 443192 444661 "+"
"388" "FAD-dependent oxidoreductase" "vnz_01980" 444658 446208 "+"
