"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_29655",1.57,0.01175809,"ECF42 sigma factor",6530068,6530679,"+"
"vnz_25565",1.57,0.259808,"ECF42 sigma factor",5586034,5586459,"+"
"vnz_07865",1.54,0.1318391,"ECF42 sigma factor",1796225,1797595,"-"
"vnz_15765",1.5,0.000711585,"ECF42 sigma factor",3508831,3509691,"-"
"vnz_14110",1.5,0.006723732,"ECF42 sigma factor",3133818,3134192,"+"
"vnz_24595",1.42,6.00985e-16,"ECF42 sigma factor",5354232,5356643,"+"
"vnz_27800",1.42,0.3435928,"ECF42 sigma factor",6111962,6112540,"-"
"vnz_25580",1.4,0.000161551,"ECF42 sigma factor",5587894,5588439,"-"
"vnz_24175",1.4,0.2809857,"ECF42 sigma factor",5265069,5266046,"-"
"vnz_21055",1.38,0.000979393,"ECF42 sigma factor",4615169,4615528,"+"
"vnz_28635",1.38,0.09075346,"ECF42 sigma factor",6290776,6291333,"+"
"vnz_05150",1.37,0.09652086,"ECF42 sigma factor",1207243,1207656,"+"
"vnz_33335",1.37,0.3810642,"ECF42 sigma factor",7399963,7401000,"+"
"vnz_27995",1.36,0.002906881,"ECF42 sigma factor",6146307,6146990,"-"
"vnz_20100",1.35,0.2776978,"ECF42 sigma factor",4411858,4413027,"+"
"vnz_31415",1.35,0.3780052,"ECF42 sigma factor",6950189,6951232,"+"
"vnz_24190",1.35,0.5111566,"ECF42 sigma factor",5268260,5268460,"-"
"vnz_29945",1.35,0.5199822,"ECF42 sigma factor",6603890,6604429,"-"
"vnz_10240",1.35,0.5529777,"ECF42 sigma factor",2293228,2293479,"+"
"vnz_27735",1.35,0.6695516,"ECF42 sigma factor",6099859,6100599,"-"
"vnz_00160",1.34,0.3291783,"ECF42 sigma factor",36317,37048,"+"
"vnz_12160",1.33,0.5903019,"ECF42 sigma factor",2702772,2703005,"-"
"vnz_34080",1.33,0.5951024,"ECF42 sigma factor",7562284,7563000,"+"
"vnz_07925",1.32,4.12966e-23,"ECF42 sigma factor",1806784,1807473,"+"
"vnz_01430",1.32,0.04616303,"ECF42 sigma factor",320639,321748,"-"
"vnz_27925",1.31,0.4896433,"ECF42 sigma factor",6132357,6133235,"+"
"vnz_10275",1.31,0.496555,"ECF42 sigma factor",2296369,2296686,"+"
"vnz_28870",1.3,1.27926e-07,"ECF42 sigma factor",6360360,6360938,"-"
"vnz_32655",1.3,0.1090074,"ECF42 sigma factor",7237069,7237914,"-"
"vnz_07920",1.29,3.00744e-14,"ECF42 sigma factor",1806312,1806770,"+"
"vnz_33705",1.28,9.93893e-07,"ECF42 sigma factor",7484094,7486040,"+"
"vnz_14060",1.28,2.07146e-05,"ECF42 sigma factor",3125331,3125813,"+"
"vnz_06775",1.28,0.1392604,"ECF42 sigma factor",1556041,1556685,"+"
"vnz_15760",1.27,0.0975279,"ECF42 sigma factor",3508097,3508834,"-"
"vnz_33905",1.27,0.5069998,"ECF42 sigma factor",7521415,7522677,"-"
"vnz_10420",1.27,0.5348174,"ECF42 sigma factor",2312638,2312922,"+"
"vnz_10235",1.27,0.5414316,"ECF42 sigma factor",2292923,2293231,"+"
"vnz_29660",1.25,0.000955369,"ECF42 sigma factor",6530846,6532297,"+"
"vnz_28045",1.25,0.03951535,"ECF42 sigma factor",6157356,6157694,"-"
"vnz_30850",1.24,0.04585186,"ECF42 sigma factor",6805927,6807345,"+"
"vnz_13970",1.23,0.003784203,"ECF42 sigma factor",3116488,3116979,"+"
"vnz_33710",1.22,1.65783e-06,"ECF42 sigma factor",7486037,7486786,"+"
"vnz_33180",1.22,0.1997779,"ECF42 sigma factor",7360453,7361961,"+"
"vnz_19715",1.2,0.09274276,"ECF42 sigma factor",4329398,4329595,"-"
"vnz_30590",1.2,0.1210252,"ECF42 sigma factor",6748671,6749327,"-"
"vnz_15575",1.19,1.94133e-14,"ECF42 sigma factor",3465470,3465901,"-"
"vnz_13955",1.19,0.03948621,"ECF42 sigma factor",3115623,3115841,"+"
"vnz_34160",1.19,0.3341942,"ECF42 sigma factor",7580424,7580984,"-"
"vnz_28875",1.18,1.43831e-05,"ECF42 sigma factor",6360935,6362896,"-"
"vnz_30575",1.18,0.1743987,"ECF42 sigma factor",6745978,6747204,"-"
"vnz_29665",1.17,2.66618e-05,"ECF42 sigma factor",6532294,6532956,"+"
"vnz_03850",1.17,0.3571506,"ECF42 sigma factor",926578,927093,"-"
"vnz_00305",1.16,0.01326278,"ECF42 sigma factor",65307,66068,"-"
"vnz_32115",1.16,0.09804015,"ECF42 sigma factor",7113614,7114303,"-"
"vnz_01310",1.16,0.2422734,"ECF42 sigma factor",291857,292927,"-"
"vnz_01225",1.15,1.48656e-07,"ECF42 sigma factor",269499,270788,"+"
"vnz_32670",1.15,0.07351968,"ECF42 sigma factor",7240018,7240956,"-"
"vnz_25220",1.14,0.002615852,"ECF42 sigma factor",5495407,5496513,"+"
"vnz_03320",1.13,0.4308771,"ECF42 sigma factor",809920,810219,"-"
"vnz_05730",1.12,0.04234781,"ECF42 sigma factor",1324799,1325965,"-"
"vnz_35395",1.12,0.04250082,"ECF42 sigma factor",7887344,7888594,"-"
"vnz_04730",1.12,0.1439485,"ECF42 sigma factor",1109378,1110298,"-"
"vnz_28000",1.11,2.72424e-11,"ECF42 sigma factor",6147109,6147861,"-"
"vnz_28880",1.11,7.24589e-07,"ECF42 sigma factor",6362896,6363318,"-"
"vnz_34560",1.11,0.1388883,"ECF42 sigma factor",7670476,7671252,"-"
"vnz_13960",1.1,0.004556636,"ECF42 sigma factor",3115838,3116080,"+"
"vnz_36480",1.1,0.00603937,"ECF42 sigma factor",8157052,8157807,"+"
"vnz_11065",1.1,0.4521698,"ECF42 sigma factor",2441695,2442459,"-"
"vnz_02560",1.09,0.1950917,"ECF42 sigma factor",609410,610606,"+"
"vnz_02590",1.08,0.001040524,"ECF42 sigma factor",617493,619376,"-"
"vnz_27740",1.08,0.07968456,"ECF42 sigma factor",6101327,6102181,"-"
"vnz_00290",1.07,0.002341486,"ECF42 sigma factor",62993,63979,"-"
"vnz_26965",1.07,0.1802176,"ECF42 sigma factor",5910393,5910812,"+"
"vnz_22965",1.07,0.3405961,"ECF42 sigma factor",5001915,5002760,"+"
"vnz_15290",1.07,0.3530523,"ECF42 sigma factor",3410030,3411232,"-"
"vnz_30930",1.06,0.1197115,"ECF42 sigma factor",6836404,6836622,"+"
"vnz_19710",1.06,0.1300603,"ECF42 sigma factor",4329117,4329401,"-"
"vnz_29210",1.06,0.1498835,"ECF42 sigma factor",6435384,6436226,"+"
"vnz_16250",1.05,5.40447e-17,"ECF42 sigma factor",3611366,3611938,"+"
"vnz_07825",1.05,1.08014e-14,"ECF42 sigma factor",1785767,1786774,"-"
"vnz_16245",1.04,1.21109e-15,"ECF42 sigma factor",3610926,3611450,"+"
"vnz_15580",1.04,1.82804e-07,"ECF42 sigma factor",3466028,3466657,"+"
"vnz_14045",1.04,0.06459676,"ECF42 sigma factor",3124429,3124611,"+"
"vnz_30450",1.03,0.001261892,"ECF42 sigma factor",6718676,6719956,"+"
"vnz_02555",1.03,0.4502379,"ECF42 sigma factor",607629,608810,"-"
"vnz_16710",1.02,0.000222327,"ECF42 sigma factor",3709977,3710807,"+"
"vnz_00275",1.01,2.24013e-09,"ECF42 sigma factor",60357,61556,"+"
"vnz_19675",1.01,0.3215063,"ECF42 sigma factor",4320763,4321092,"+"
"vnz_27920",1.01,0.5296469,"ECF42 sigma factor",6131098,6132360,"+"
"vnz_28885",1,4.73082e-06,"ECF42 sigma factor",6363318,6363635,"-"
"vnz_00310",1,0.001162926,"ECF42 sigma factor",66065,67396,"-"
"vnz_27590",1,0.003543869,"ECF42 sigma factor",6067052,6068434,"-"
"vnz_27565",1,0.03073238,"ECF42 sigma factor",6062134,6063285,"+"
"vnz_36570",1,0.1358257,"ECF42 sigma factor",8182635,8183936,"+"
"vnz_02315",1,0.2407189,"ECF42 sigma factor",533856,535133,"+"
"vnz_10140",1,0.582044,"ECF42 sigma factor",2283869,2284084,"+"
"vnz_16365",0.99,0.254523,"ECF42 sigma factor",3641355,3641687,"-"
"vnz_01365",0.99,0.5813381,"ECF42 sigma factor",303599,304153,"-"
"vnz_08260",0.98,0.01933919,"ECF42 sigma factor",1886982,1888136,"+"
"vnz_34255",0.98,0.133741,"ECF42 sigma factor",7601814,7602569,"+"
"vnz_30620",0.98,0.4201498,"ECF42 sigma factor",6758384,6759598,"+"
"vnz_14660",0.97,0.04080388,"ECF42 sigma factor",3261556,3262107,"+"
"vnz_22465",0.97,0.105753,"ECF42 sigma factor",4897557,4898900,"-"
"vnz_10250",0.97,0.4112389,"ECF42 sigma factor",2293931,2294248,"+"
"vnz_27845",0.97,0.5576726,"ECF42 sigma factor",6120245,6120934,"-"
"vnz_30580",0.97,0.6922932,"ECF42 sigma factor",6747201,6747446,"-"
"vnz_01220",0.96,1.03617e-07,"ECF42 sigma factor",268854,269207,"+"
"vnz_15425",0.96,3.98899e-06,"ECF42 sigma factor",3436925,3438985,"+"
"vnz_32095",0.96,0.222609,"ECF42 sigma factor",7109688,7111088,"-"
"vnz_36470",0.96,0.6013793,"ECF42 sigma factor",8155056,8156273,"-"
"vnz_34760",0.95,2.27588e-10,"ECF42 sigma factor",7717214,7718938,"+"
"vnz_11265",0.95,3.77437e-05,"ECF42 sigma factor",2487282,2487497,"-"
"vnz_12555",0.95,0.04292443,"ECF42 sigma factor",2792966,2794573,"+"
"vnz_13985",0.95,0.08725512,"ECF42 sigma factor",3117796,3118386,"+"
"vnz_24150",0.95,0.1462528,"ECF42 sigma factor",5259440,5260438,"-"
"vnz_36575",0.95,0.4768923,"ECF42 sigma factor",8183963,8185180,"+"
"vnz_34765",0.94,0.000195136,"ECF42 sigma factor",7718985,7719653,"-"
"vnz_05515",0.94,0.005826301,"ECF42 sigma factor",1286700,1287428,"+"
"vnz_30615",0.94,0.1827246,"ECF42 sigma factor",6757057,6758340,"+"
"vnz_02845",0.94,0.2300788,"ECF42 sigma factor",684864,685658,"-"
"vnz_30045",0.94,0.3479395,"ECF42 sigma factor",6626210,6627436,"+"
"vnz_30055",0.93,2.41847e-10,"ECF42 sigma factor",6628534,6629991,"-"
"vnz_28945",0.93,0.00250478,"ECF42 sigma factor",6380025,6381305,"+"
"vnz_03895",0.93,0.3199611,"ECF42 sigma factor",935562,936578,"-"
"vnz_34215",0.93,0.3898098,"ECF42 sigma factor",7593279,7593509,"+"
"vnz_19985",0.92,3.72509e-16,"ECF42 sigma factor",4383492,4383770,"+"
"vnz_32935",0.92,2.04749e-06,"ECF42 sigma factor",7302225,7303451,"-"
"vnz_28030",0.92,0.000165069,"ECF42 sigma factor",6154223,6155521,"+"
"vnz_30770",0.92,0.04909622,"ECF42 sigma factor",6790887,6791585,"-"
"vnz_03310",0.92,0.135703,"ECF42 sigma factor",806574,809138,"-"
"vnz_17200",0.91,0.0184627,"ECF42 sigma factor",3805597,3806832,"-"
"vnz_05735",0.91,0.05977628,"ECF42 sigma factor",1326096,1327124,"-"
"vnz_34625",0.91,0.2051928,"ECF42 sigma factor",7683921,7684886,"-"
"vnz_35345",0.91,0.2417317,"ECF42 sigma factor",7877071,7877919,"+"
"vnz_28860",0.9,2.43986e-09,"ECF42 sigma factor",6357117,6358517,"-"
"vnz_03790",0.89,5.43936e-14,"ECF42 sigma factor",913554,915386,"+"
"vnz_28530",0.89,4.85341e-12,"ECF42 sigma factor",6267823,6269241,"-"
"vnz_01985",0.89,0.000555248,"ECF42 sigma factor",446205,447413,"+"
"vnz_32685",0.89,0.0484457,"ECF42 sigma factor",7243723,7244373,"-"
"vnz_04435",0.89,0.1951823,"ECF42 sigma factor",1045914,1047974,"-"
"vnz_35210",0.89,0.2169087,"ECF42 sigma factor",7840957,7842339,"+"
"vnz_04945",0.89,0.3499569,"ECF42 sigma factor",1163214,1164305,"-"
"vnz_02035",0.88,0.03093245,"ECF42 sigma factor",458162,459022,"-"
"vnz_05885",0.88,0.07522046,"ECF42 sigma factor",1357829,1359184,"-"
"vnz_00150",0.88,0.3892149,"ECF42 sigma factor",32126,32632,"-"
"vnz_10145",0.88,0.6913827,"ECF42 sigma factor",2284132,2284329,"+"
"vnz_28895",0.87,1.3279e-05,"ECF42 sigma factor",6365461,6366183,"-"
"vnz_31900",0.87,0.000154095,"ECF42 sigma factor",7057097,7057903,"-"
"vnz_08110",0.87,0.008513641,"ECF42 sigma factor",1853509,1854276,"-"
"vnz_11125",0.87,0.1130682,"ECF42 sigma factor",2455237,2455854,"+"
"vnz_27715",0.87,0.470528,"ECF42 sigma factor",6097315,6098133,"-"
"vnz_34205",0.87,0.4760104,"ECF42 sigma factor",7590973,7592040,"-"
"vnz_32580",0.86,0.1104816,"ECF42 sigma factor",7222403,7223461,"+"
"vnz_02355",0.86,0.187105,"ECF42 sigma factor",544938,546209,"+"
"vnz_28890",0.85,1.34532e-05,"ECF42 sigma factor",6363647,6365464,"-"
"vnz_28915",0.85,0.001491686,"ECF42 sigma factor",6370555,6370995,"-"
"vnz_33650",0.85,0.1522579,"ECF42 sigma factor",7471592,7472077,"+"
"vnz_20530",0.85,0.1838809,"ECF42 sigma factor",4499094,4499558,"+"
"vnz_10445",0.85,0.2160116,"ECF42 sigma factor",2315855,2316052,"+"
"vnz_06445",0.85,0.2404449,"ECF42 sigma factor",1479459,1480340,"+"
"vnz_31905",0.84,1.07435e-07,"ECF42 sigma factor",7058040,7058291,"-"
"vnz_14000",0.84,0.2698199,"ECF42 sigma factor",3118870,3119277,"+"
"vnz_15430",0.83,0.002422201,"ECF42 sigma factor",3438990,3440561,"+"
"vnz_09905",0.83,0.04804461,"ECF42 sigma factor",2238844,2239251,"+"
"vnz_01645",0.83,0.1297596,"ECF42 sigma factor",374184,375560,"-"
"vnz_30730",0.83,0.261456,"ECF42 sigma factor",6782419,6782943,"-"
"vnz_36475",0.83,0.3454851,"ECF42 sigma factor",8156462,8157049,"+"
"vnz_26285",0.83,0.3595278,"ECF42 sigma factor",5741204,5742355,"-"
"vnz_01870",0.83,0.4283214,"ECF42 sigma factor",421293,422033,"-"
"vnz_33085",0.83,0.4943181,"ECF42 sigma factor",7337097,7337342,"+"
"vnz_02330",0.83,0.5275677,"ECF42 sigma factor",537564,538214,"+"
"vnz_00910",0.82,0.003151154,"ECF42 sigma factor",204758,205825,"+"
"vnz_10845",0.82,0.02062253,"ECF42 sigma factor",2392921,2393397,"-"
"vnz_22925",0.82,0.3522354,"ECF42 sigma factor",4992230,4993363,"-"
"vnz_10155",0.82,0.3551797,"ECF42 sigma factor",2284678,2285328,"+"
"vnz_23420",0.81,1.48804e-13,"ECF42 sigma factor",5094277,5095062,"+"
"vnz_06615",0.81,0.06883308,"ECF42 sigma factor",1515718,1516701,"-"
"vnz_26940",0.81,0.09396916,"ECF42 sigma factor",5905272,5906504,"+"
"vnz_31965",0.81,0.1292962,"ECF42 sigma factor",7069161,7071254,"-"
"vnz_23835",0.81,0.1342786,"ECF42 sigma factor",5184039,5185013,"+"
"vnz_34790",0.81,0.1454832,"ECF42 sigma factor",7737879,7738088,"+"
"vnz_01175",0.81,0.2670311,"ECF42 sigma factor",260351,260767,"+"
"vnz_34770",0.8,5.83944e-07,"ECF42 sigma factor",7719680,7720624,"-"
"vnz_01965",0.8,4.06278e-06,"ECF42 sigma factor",440308,441840,"-"
"vnz_33040",0.8,0.03385036,"ECF42 sigma factor",7331804,7332493,"-"
"vnz_14655",0.8,0.134232,"ECF42 sigma factor",3261101,3261553,"+"
"vnz_25185",0.8,0.3401932,"ECF42 sigma factor",5484653,5486002,"-"
"vnz_00420",0.8,0.3682402,"ECF42 sigma factor",93857,94780,"+"
"vnz_28035",0.8,0.4708518,"ECF42 sigma factor",6155543,6155824,"+"
"vnz_28910",0.79,0.003258545,"ECF42 sigma factor",6370064,6370558,"-"
"vnz_05740",0.79,0.03173644,"ECF42 sigma factor",1327267,1328721,"+"
"vnz_05725",0.79,0.1686812,"ECF42 sigma factor",1323879,1324802,"-"
"vnz_27955",0.79,0.03759632,"ECF42 sigma factor",6139882,6140160,"+"
"vnz_05910",0.79,0.05470076,"ECF42 sigma factor",1363808,1365262,"-"
"vnz_01970",0.78,4.54641e-05,"ECF42 sigma factor",441914,442888,"-"
"vnz_28900",0.78,0.000101123,"ECF42 sigma factor",6366290,6366715,"-"
"vnz_09425",0.78,0.2424316,"ECF42 sigma factor",2144119,2145594,"+"
"vnz_26915",0.78,0.2470053,"ECF42 sigma factor",5898543,5899769,"-"
"vnz_10475",0.78,0.3608972,"ECF42 sigma factor",2321345,2321932,"+"
"vnz_22475",0.78,0.4297357,"ECF42 sigma factor",4900139,4901458,"+"
"vnz_14030",0.78,0.4541045,"ECF42 sigma factor",3122742,3123434,"+"
"vnz_25770",0.77,2.57881e-07,"ECF42 sigma factor",5635961,5636587,"-"
"vnz_00360",0.77,0.0012372,"ECF42 sigma factor",78552,79412,"+"
"vnz_22295",0.77,0.01843828,"ECF42 sigma factor",4865249,4866049,"-"
"vnz_12375",0.77,0.03208925,"ECF42 sigma factor",2747804,2748001,"+"
"vnz_36100",0.77,0.6011287,"ECF42 sigma factor",8049739,8050647,"-"
"vnz_28005",0.76,1.1888e-06,"ECF42 sigma factor",6147858,6148910,"-"
"vnz_27490",0.76,4.45738e-06,"ECF42 sigma factor",6041977,6042468,"-"
"vnz_32920",0.76,0.08633144,"ECF42 sigma factor",7299838,7300386,"+"
"vnz_31230",0.76,0.1394948,"ECF42 sigma factor",6912045,6912395,"+"
"vnz_02130",0.76,0.1849766,"ECF42 sigma factor",482874,484148,"+"
"vnz_34345",0.76,0.3634996,"ECF42 sigma factor",7622287,7623753,"+"
"vnz_12145",0.76,0.5947084,"ECF42 sigma factor",2698348,2698827,"-"
"vnz_24705",0.75,2.49094e-14,"ECF42 sigma factor",5379199,5381310,"-"
"vnz_01975",0.75,1.26762e-06,"ECF42 sigma factor",443192,444661,"+"
"vnz_32745",0.75,3.59405e-05,"ECF42 sigma factor",7261102,7262256,"-"
"vnz_28930",0.75,7.27822e-05,"ECF42 sigma factor",6375022,6375729,"-"
"vnz_30700",0.75,0.002378545,"ECF42 sigma factor",6775751,6776362,"-"
"vnz_34495",0.75,0.07963862,"ECF42 sigma factor",7656350,7656730,"+"
"vnz_31065",0.75,0.4588836,"ECF42 sigma factor",6868403,6869293,"+"
"vnz_27510",0.74,1.54209e-07,"ECF42 sigma factor",6046171,6047127,"-"
"vnz_06210",0.74,4.96235e-07,"ECF42 sigma factor",1435275,1435508,"-"
"vnz_20240",0.74,4.55124e-06,"ECF42 sigma factor",4439964,4440290,"+"
"vnz_01980",0.74,2.37117e-05,"ECF42 sigma factor",444658,446208,"+"
"vnz_34150",0.74,6.63536e-05,"ECF42 sigma factor",7579014,7579790,"+"
"vnz_22365",0.74,0.004844639,"ECF42 sigma factor",4878762,4879196,"-"
"vnz_09155",0.74,0.1866491,"ECF42 sigma factor",2082965,2083876,"-"
"vnz_16370",0.74,0.4031538,"ECF42 sigma factor",3641698,3641940,"-"
"vnz_27515",0.73,1.01768e-09,"ECF42 sigma factor",6047124,6049943,"-"
"vnz_10425",0.73,0.006425266,"ECF42 sigma factor",2313022,2313600,"+"
"vnz_34695",0.73,0.007105325,"ECF42 sigma factor",7704299,7705537,"-"
"vnz_16980",0.73,0.02492011,"ECF42 sigma factor",3767527,3768162,"+"
"vnz_34815",0.73,0.03333918,"ECF42 sigma factor",7744254,7745120,"+"
"vnz_29680",0.73,0.1544468,"ECF42 sigma factor",6534366,6535916,"+"
"vnz_35560",0.73,0.3113854,"ECF42 sigma factor",7930367,7931692,"+"
"vnz_33140",0.73,0.3203063,"ECF42 sigma factor",7349221,7350273,"+"
"vnz_06515",0.72,1.00447e-06,"ECF42 sigma factor",1496797,1498119,"+"
"vnz_16840",0.72,2.61813e-05,"ECF42 sigma factor",3740080,3740598,"-"
"vnz_04640",0.72,0.000895264,"ECF42 sigma factor",1086956,1087162,"+"
"vnz_28535",0.72,0.001333612,"ECF42 sigma factor",6269374,6269880,"-"
"vnz_16180",0.72,0.005836427,"ECF42 sigma factor",3597271,3598089,"+"
"vnz_30460",0.72,0.06383031,"ECF42 sigma factor",6721408,6722421,"+"
"vnz_10945",0.72,0.06669542,"ECF42 sigma factor",2416052,2417533,"+"
"vnz_34225",0.72,0.1772866,"ECF42 sigma factor",7594462,7595550,"+"
"vnz_02680",0.72,0.2956762,"ECF42 sigma factor",642977,644398,"-"
"vnz_33010",0.72,0.2988232,"ECF42 sigma factor",7327947,7328513,"+"
"vnz_33035",0.72,0.5116187,"ECF42 sigma factor",7331502,7331753,"-"
"vnz_02910",0.71,2.76966e-07,"ECF42 sigma factor",701856,702440,"-"
"vnz_29850",0.71,0.01835616,"ECF42 sigma factor",6573318,6574613,"+"
"vnz_33045",0.71,0.02939401,"ECF42 sigma factor",7332552,7333067,"-"
"vnz_02600",0.71,0.1235214,"ECF42 sigma factor",622751,622951,"-"
"vnz_10935",0.71,0.2283256,"ECF42 sigma factor",2414469,2415236,"+"
"vnz_17190",0.71,0.3176103,"ECF42 sigma factor",3803893,3804339,"-"
"vnz_07780",0.71,0.4028118,"ECF42 sigma factor",1774137,1774760,"-"
"vnz_14670",0.71,0.5130282,"ECF42 sigma factor",3264002,3264223,"+"
"vnz_35740",0.71,0.5720957,"ECF42 sigma factor",7972675,7973685,"+"
"vnz_27670",0.71,0.5761904,"ECF42 sigma factor",6090027,6090437,"-"
"vnz_22145",0.7,1.21864e-10,"ECF42 sigma factor",4831548,4832705,"+"
"vnz_20245",0.7,5.76558e-07,"ECF42 sigma factor",4440287,4440916,"+"
"vnz_10490",0.7,9.84711e-05,"ECF42 sigma factor",2324545,2324961,"+"
"vnz_09355",0.7,0.000404613,"ECF42 sigma factor",2134755,2135888,"-"
"vnz_24530",0.7,0.000656511,"ECF42 sigma factor",5336906,5338186,"+"
"vnz_30285",0.7,0.01770066,"ECF42 sigma factor",6677937,6678827,"-"
"vnz_30025",0.7,0.02290524,"ECF42 sigma factor",6620113,6620901,"-"
"vnz_31895",0.7,0.02511947,"ECF42 sigma factor",7054848,7056989,"-"
"vnz_04555",0.7,0.0700599,"ECF42 sigma factor",1070728,1071195,"+"
"vnz_35315",0.7,0.2139654,"ECF42 sigma factor",7869082,7869747,"+"
"vnz_02850",0.7,0.2897646,"ECF42 sigma factor",685943,686773,"+"
