"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO1550",-7.5870318249,2.682e-05,"dccr1vsWT",1658389,1658571,183,"-"
"SCO1557",19.5587601211,9.841e-06,"dccr1vsWT",1669056,1669883,828,"-"
"SCO1558",7.3822621327,0.00161,"dccr1vsWT",1669950,1670672,723,"-"
"SCO1559",8.0131126034,0.001509,"dccr1vsWT",1670684,1671790,1107,"-"
"SCO1597",5.2471518786,0.0006696,"dccr1vsWT",1709299,1710147,849,"-"
"SCO1611",-8.3967725478,5.565e-06,"dccr1vsWT",1722499,1723281,783,"-"
"SCO1612",-7.152864779,8.233e-06,"dccr1vsWT",1723278,1724729,1452,"-"
"SCO1613",-5.4224452093,0.001462,"dccr1vsWT",1724726,1726114,1389,"-"
"SCO1620",11.9255927081,3.532e-05,"dccr1vsWT",1732259,1734874,2616,"-"
"SCO1621",7.5928378049,0.000809,"dccr1vsWT",1734867,1735961,1095,"-"
"SCO1737",7.323300244,0.009221,"dccr1vsWT",1854635,1855009,375,"+"
"SCO1739",8.2397457666,0.0001401,"dccr1vsWT",1855987,1859544,3558,"-"
"SCO1776",5.2341827915,0.001304,"dccr1vsWT",1896671,1898320,1650,"-"
"SCO1790",5.582490054,0.002539,"dccr1vsWT",1914468,1915100,633,"-"
"SCO1819",8.0534606114,0.0168881153,"dccr1vsWT",1949812,1950093,282,"-"
"SCO1865",5.1188916561,0.0007759,"dccr1vsWT",1999110,2000381,1272,"+"
"SCO1876",9.9310686113,0.002844,"dccr1vsWT",2009469,2010041,573,"+"
"SCO1909",-12.3327651184,3.998e-08,"dccr1vsWT",2046252,2046959,708,"-"
"SCO2002",5.1733827157,0.00789,"dccr1vsWT",2141042,2141398,357,"-"
"SCO2037",5.2655969849,0.0002126,"dccr1vsWT",2188023,2189306,1284,"-"
"SCO2055",-16.7966313116,4.776e-08,"dccr1vsWT",2202760,2204337,1578,"+"
"SCO2167",-5.7867981157,0.0001105,"dccr1vsWT",2331727,2332011,285,"-"
"SCO2168",-5.3954089175,0.001155,"dccr1vsWT",2332033,2332812,780,"-"
"SCO2270",10.7351953052,0.000191,"dccr1vsWT",2438127,2439746,1620,"-"
"SCO2256",-9.4506663879,3.023e-06,"dccr1vsWT",2423298,2424173,876,"+"
"SCO2315",-7.1781753432,2.217e-06,"dccr1vsWT",2486429,2486722,294,"+"
"SCO2346",8.6527451241,0.002932,"dccr1vsWT",2515998,2516663,666,"-"
"SCO2485",7.9492022946,4.846e-05,"dccr1vsWT",2675087,2675869,783,"-"
"SCO2513",-5.05995276,0.0002138,"dccr1vsWT",2709485,2710318,834,"+"
"SCO2519",-7.1061738892,0.000348,"dccr1vsWT",2714777,2716855,2079,"-"
"SCO2524",-5.4486138685,0.00306,"dccr1vsWT",2721099,2722943,1845,"-"
"SCO2529",-5.7309917853,0.001255,"dccr1vsWT",2727564,2728634,1071,"+"
"SCO2682",5.5184436202,0.0002431,"dccr1vsWT",2922880,2924292,1413,"-"
"SCO2695",-6.796132853,9.542e-07,"dccr1vsWT",2940382,2941152,771,"+"
"SCO2699",-6.2134223389,0.003986,"dccr1vsWT",2943092,2943364,273,"+"
"SCO2745",-5.3087170216,0.0005283,"dccr1vsWT",2990408,2991451,1044,"+"
"SCO2746",-6.621697007,6.863e-05,"dccr1vsWT",2991448,2993001,1554,"+"
"SCO2747",-6.9927105892,1.026e-05,"dccr1vsWT",2992991,2994946,1956,"+"
"SCO2780",6.2533738632,0.0004774,"dccr1vsWT",3033355,3034404,1050,"+"
"SCO2781",6.7049194476,0.006722,"dccr1vsWT",3034632,3035477,846,"+"
"SCO2786",-10.0371725701,7.814e-06,"dccr1vsWT",3040752,3042359,1608,"-"
"SCO2804",-6.3411026417,0.0002863,"dccr1vsWT",3061566,3061961,396,"-"
"SCO2822",-5.9074782788,0.0002053,"dccr1vsWT",3082430,3083161,732,"-"
"SCO2823",-6.7758101172,0.0001312,"dccr1vsWT",3083158,3084060,903,"-"
"SCO2857",6.2714474748,0.009801,"dccr1vsWT",3115344,3115688,345,"-"
"SCO2862",5.0272391481,0.007731,"dccr1vsWT",3117978,3118211,234,"-"
"SCO2907",5.8198444218,0.001796,"dccr1vsWT",3159229,3160479,1251,"+"
"SCO2927",-6.2430149973,0.009828,"dccr1vsWT",3178620,3179765,1146,"-"
"SCO2928",-6.0561726597,0.0008804,"dccr1vsWT",3179891,3180382,492,"+"
"SCO2930",-8.5866830391,0.0002634,"dccr1vsWT",3181757,3182404,648,"+"
"SCO3064",8.6904396612,0.0001562,"dccr1vsWT",3357162,3358658,1497,"+"
"SCO3078",-8.9750635237,8.238e-06,"dccr1vsWT",3371912,3372934,1023,"+"
"SCO3082",-8.5254149419,0.000217,"dccr1vsWT",3375950,3376180,231,"+"
"SCO3089",-8.2043879617,1.012e-05,"dccr1vsWT",3381453,3382223,771,"+"
"SCO3097",5.1378093467,0.003122,"dccr1vsWT",3392083,3392817,735,"-"
"SCO3110",-11.6102298707,3.181e-06,"dccr1vsWT",3408950,3411514,2565,"-"
"SCO3111",-13.2178215526,3.138e-07,"dccr1vsWT",3411511,3412299,789,"-"
"SCO3124",5.6650571714,0.0003954,"dccr1vsWT",3425176,3425772,597,"+"
"SCO3196",-6.5881540291,3.212e-05,"dccr1vsWT",3502247,3504346,2100,"-"
"SCO3197",-5.507462992,0.0002166,"dccr1vsWT",3504474,3505421,948,"-"
"SCO3199",6.8920991047,0.0003023,"dccr1vsWT",3506390,3507907,1518,"-"
"SCO3328",-5.0791951639,0.0186318074,"dccr1vsWT",3680056,3680268,213,"-"
"SCO3363",7.6687739807,0.00176,"dccr1vsWT",3721342,3721785,444,"+"
"SCO3365",-5.9608629535,0.000383,"dccr1vsWT",3722414,3723256,843,"-"
"SCO3390",-6.7636496924,5.651e-05,"dccr1vsWT",3753279,3754484,1206,"-"
"SCO3470",8.1458475994,7.058e-05,"dccr1vsWT",3830698,3831525,828,"-"
"SCO3622",5.8038679949,0.0122156285,"dccr1vsWT",4001665,4003020,1356,"+"
"SCO3623",10.9141446601,9.49e-05,"dccr1vsWT",4003147,4003848,702,"+"
"SCO3732",6.287259117,0.0003868,"dccr1vsWT",4105819,4107405,1587,"+"
"SCO3733",16.0715343402,2.712e-05,"dccr1vsWT",4107493,4107822,330,"+"
"SCO3734",5.2994320872,0.00784,"dccr1vsWT",4107830,4108183,354,"-"
"SCO3905",-5.1211207343,4.255e-05,"dccr1vsWT",4302661,4302966,306,"-"
"SCO3924",-5.9979868563,0.0008064,"dccr1vsWT",4318118,4318330,213,"+"
"SCO3956",-7.2606939988,0.0001609,"dccr1vsWT",4355990,4356952,963,"+"
"SCO3957",-7.3633546108,0.000101,"dccr1vsWT",4356969,4357850,882,"+"
"SCO3958",-7.2467444998,0.0001085,"dccr1vsWT",4357847,4358758,912,"+"
"SCO3959",-5.7296670801,0.0001252,"dccr1vsWT",4358770,4359489,720,"+"
"SCO4005",-18.7098758844,2.611e-08,"dccr1vsWT",4397899,4398372,474,"+"
"SCO4040",-5.2050953588,0.001893,"dccr1vsWT",4434929,4435393,465,"+"
"SCO4096",5.8062022202,0.001482,"dccr1vsWT",4494136,4496358,2223,"+"
"SCO4164",7.245691596,8.74e-06,"dccr1vsWT",4580995,4581840,846,"+"
"SCO4187",-6.6520723439,0.000713,"dccr1vsWT",4597040,4597225,186,"-"
"SCO4189",-10.2266195793,0.0006568,"dccr1vsWT",4598300,4598488,189,"-"
"SCO4198",-6.7364125759,1.852e-05,"dccr1vsWT",4607362,4607787,426,"+"
"SCO4199",-6.2686444916,0.0003702,"dccr1vsWT",4607810,4608451,642,"+"
"SCO4227",-5.8028703131,0.0006282,"dccr1vsWT",4631977,4632216,240,"-"
"SCO4266",-13.8584456011,2.105e-08,"dccr1vsWT",4681886,4682866,981,"-"
"SCO4287",5.8489854927,0.0003565,"dccr1vsWT",4702952,4703206,255,"+"
"SCO4301",-5.6374386077,0.0001699,"dccr1vsWT",4716256,4717095,840,"-"
"SCO4317",-13.5629322107,6.544e-08,"dccr1vsWT",4729548,4729769,222,"+"
"SCO4332",-9.9814750443,2.153e-05,"dccr1vsWT",4746028,4748436,2409,"-"
"SCO4388",-5.7654050503,0.0002774,"dccr1vsWT",4804401,4805564,1164,"+"
"SCO4584",-6.2307053957,0.0006409,"dccr1vsWT",5006187,5007449,1263,"+"
"SCO4585",-5.8186980419,0.0007109,"dccr1vsWT",5007502,5008485,984,"+"
"SCO4701",5.0025723117,0.002827,"dccr1vsWT",5127609,5127917,309,"+"
"SCO4703",5.0309926984,0.00312,"dccr1vsWT",5128587,5129246,660,"+"
"SCO4739",8.6505845769,2.553e-05,"dccr1vsWT",5152417,5153223,807,"+"
"SCO4799",-5.3754740433,0.0009217,"dccr1vsWT",5223103,5224098,996,"-"
"SCO4829",9.0665071205,3.261e-05,"dccr1vsWT",5260321,5261853,1533,"+"
"SCO4831",8.2990901383,0.0003285,"dccr1vsWT",5263034,5264980,1947,"+"
"SCO4885",5.8168164919,0.001819,"dccr1vsWT",5318421,5319467,1047,"+"
"SCO4890",5.2197380267,0.001798,"dccr1vsWT",5324126,5325409,1284,"+"
"SCO4903",-30.1989923404,1.438e-09,"dccr1vsWT",5336333,5336536,204,"-"
"SCO4916",11.6018050542,2.61e-05,"dccr1vsWT",5349119,5350768,1650,"-"
"SCO4917",8.0030167342,0.0001416,"dccr1vsWT",5351124,5351948,825,"-"
"SCO4947",-5.0517068696,0.008797,"dccr1vsWT",5381148,5384831,3684,"+"
"SCO4948",-7.5947646872,0.0001247,"dccr1vsWT",5384840,5386486,1647,"+"
"SCO4949",-9.1016644845,1.845e-05,"dccr1vsWT",5386483,5387145,663,"+"
"SCO4950",-7.6572532351,0.0001037,"dccr1vsWT",5387142,5387855,714,"+"
"SCO5031",6.4473699335,0.000244,"dccr1vsWT",5467332,5467868,537,"-"
"SCO5032",6.920288371,0.0002142,"dccr1vsWT",5467875,5468429,555,"-"
"SCO5035",6.1143235441,0.0007185,"dccr1vsWT",5471972,5472661,690,"-"
"SCO5071",-33.6769714567,5.413e-12,"dccr1vsWT",5513809,5514249,441,"-"
"SCO5072",-55.8509056314,1.11e-16,"dccr1vsWT",5514323,5515246,924,"+"
"SCO5073",-33.0238072326,8.868e-13,"dccr1vsWT",5515243,5516232,990,"+"
"SCO5074",-51.4795645652,2.851e-13,"dccr1vsWT",5516299,5516943,645,"+"
"SCO5075",-51.7975729775,9.992e-16,"dccr1vsWT",5516977,5517897,921,"+"
"SCO5076",-9.5114317672,1.258e-06,"dccr1vsWT",5517894,5519495,1602,"+"
"SCO5077",-6.9937091247,6.606e-05,"dccr1vsWT",5519497,5519892,396,"+"
"SCO5078",-51.3629676934,3.25e-13,"dccr1vsWT",5519987,5520832,846,"+"
"SCO5079",-35.3295594245,2.414e-12,"dccr1vsWT",5520857,5521741,885,"+"
"SCO5080",-35.2112062962,2.528e-12,"dccr1vsWT",5521738,5522883,1146,"+"
"SCO5081",-26.5584979757,3.423e-12,"dccr1vsWT",5522876,5523217,342,"+"
"SCO5083",-8.2236974774,0.001299,"dccr1vsWT",5524073,5525809,1737,"+"
"SCO5084",-6.4773751808,0.004482,"dccr1vsWT",5525809,5527944,2136,"+"
"SCO5085",-6.2067485182,0.0001135,"dccr1vsWT",5528094,5528861,768,"+"
"SCO5086",-64.1891170785,8.882e-16,"dccr1vsWT",5528935,5529720,786,"-"
"SCO5087",-92.8631982209,2.22e-16,"dccr1vsWT",5529801,5531204,1404,"+"
"SCO5088",-81.9219877311,0,"dccr1vsWT",5531201,5532424,1224,"+"
"SCO5089",-100.1446579628,2.691e-12,"dccr1vsWT",5532449,5532709,261,"+"
"SCO5090",-88.9718086271,1.11e-16,"dccr1vsWT",5532706,5533656,951,"+"
"SCO5091",-47.333891618,1.44e-12,"dccr1vsWT",5533653,5534546,894,"+"
"SCO5092",-61.4914593743,1.164e-09,"dccr1vsWT",5534558,5535091,534,"+"
"SCO5157",5.7854003165,0.000757,"dccr1vsWT",5603731,5604846,1116,"-"
"SCO5225",19.2737516143,2.237e-06,"dccr1vsWT",5684737,5685768,1032,"-"
"SCO5226",17.0856435723,1.711e-05,"dccr1vsWT",5685768,5688143,2376,"-"
"SCO5227",9.9654663769,0.0001636,"dccr1vsWT",5688140,5688415,276,"-"
"SCO5269",-5.1440123612,0.001555,"dccr1vsWT",5727722,5729959,2238,"+"
"SCO5276",-9.7551323386,2.494e-05,"dccr1vsWT",5741653,5742078,426,"+"
"SCO5277",-5.5057214234,0.0001379,"dccr1vsWT",5742087,5743016,930,"+"
"SCO5288",5.1783321115,0.0005106,"dccr1vsWT",5760899,5761690,792,"-"
"SCO5350",-8.7589635665,0.0001997,"dccr1vsWT",5818003,5818548,546,"+"
"SCO5511",-5.4040106735,0.006193,"dccr1vsWT",5999549,6002875,3327,"+"
"SCO5588",5.8300928947,0.001402,"dccr1vsWT",6094014,6094631,618,"-"
"SCO5658",16.0926952762,0.0004504,"dccr1vsWT",6157741,6158940,1200,"+"
"SCO5666",8.2030577647,0.000723,"dccr1vsWT",6164842,6166377,1536,"+"
"SCO5667",8.858993948,0.0005758,"dccr1vsWT",6166490,6167689,1200,"+"
"SCO5668",9.2073306414,0.0008479,"dccr1vsWT",6167695,6168888,1194,"+"
"SCO5669",9.0614703016,0.001644,"dccr1vsWT",6168888,6169817,930,"+"
"SCO5670",8.0982917708,0.0004876,"dccr1vsWT",6169818,6170618,801,"+"
"SCO5671",5.777828947,0.002444,"dccr1vsWT",6170654,6172081,1428,"+"
"SCO5769",5.9195028062,0.003249,"dccr1vsWT",6306654,6307778,1125,"+"
"SCO5770",10.1848629594,0.0001302,"dccr1vsWT",6307998,6308564,567,"+"
"SCO5771",15.7678054975,0.0004821,"dccr1vsWT",6308921,6309319,399,"-"
"SCO5804",5.4564773028,0.0004972,"dccr1vsWT",6347027,6347575,549,"+"
"SCO5830",7.9717885974,0.0002982,"dccr1vsWT",6380416,6381357,942,"-"
"SCO5839",7.9773191209,0.0001032,"dccr1vsWT",6392322,6393074,753,"+"
"SCO5841",8.5622131558,0.00104,"dccr1vsWT",6394045,6394326,282,"-"
"SCO5856",7.1175508894,0.0005795,"dccr1vsWT",6412730,6413614,885,"+"
"SCO5880",-5.9359366428,4.707e-05,"dccr1vsWT",6437814,6438134,321,"+"
"SCO5912",-6.2109990023,0.0155000321,"dccr1vsWT",6477438,6480035,2598,"+"
"SCO5957",5.6154003799,0.003335,"dccr1vsWT",6527871,6529472,1602,"+"
"SCO5970",-6.4029577573,0.0002362,"dccr1vsWT",6541507,6541977,471,"+"
"SCO5972",5.2671179167,0.0034,"dccr1vsWT",6543305,6544900,1596,"+"
"SCO5982",8.2935505152,6.89e-05,"dccr1vsWT",6557772,6558617,846,"-"
"SCO5985",-14.5659479486,8.349e-05,"dccr1vsWT",6561614,6562012,399,"+"
"SCO5993",5.3152543991,0.003371,"dccr1vsWT",6566262,6567074,813,"+"
"SCO6010",7.4252398614,0.0002916,"dccr1vsWT",6590859,6591641,783,"+"
"SCO6011",5.7176143806,0.002006,"dccr1vsWT",6591638,6592930,1293,"+"
"SCO6075",9.6700991129,5.578e-05,"dccr1vsWT",6669117,6669938,822,"-"
"SCO6091",-17.5874735511,1.321e-07,"dccr1vsWT",6690041,6692311,2271,"-"
"SCO6131",8.4824828204,8.262e-05,"dccr1vsWT",6732336,6733691,1356,"-"
"SCO6167",-5.5277278552,0.006036,"dccr1vsWT",6769408,6770778,1371,"+"
"SCO6178",5.9383546889,0.0005605,"dccr1vsWT",6783029,6783811,783,"-"
"SCO6202",-6.9155323312,1.578e-05,"dccr1vsWT",6817450,6818094,645,"-"
"SCO6220",5.1707458268,0.001747,"dccr1vsWT",6836057,6842608,6552,"+"
"SCO6224",7.9446991434,1.261e-05,"dccr1vsWT",6845172,6845987,816,"-"
"SCO6225",13.7811961546,4.899e-08,"dccr1vsWT",6845987,6847252,1266,"-"
"SCO6257",14.2852323457,1.158e-05,"dccr1vsWT",6879297,6880301,1005,"+"
"SCO6259",53.2600484837,0.0001478,"dccr1vsWT",6881335,6882126,792,"+"
"SCO6300",-5.4508949252,0.0001568,"dccr1vsWT",6959963,6961810,1848,"-"
"SCO6375",-9.100394868,1.768e-07,"dccr1vsWT",7037737,7038399,663,"-"
"SCO6414",-5.5948687012,0.002422,"dccr1vsWT",7081657,7082499,843,"+"
"SCO6415",-5.462536424,0.003798,"dccr1vsWT",7082535,7083938,1404,"+"
"SCO6494",-7.911106568,5.668e-05,"dccr1vsWT",7187223,7187840,618,"+"
"SCO6499",-5.597452698,0.0007638,"dccr1vsWT",7193830,7194222,393,"+"
"SCO6682",-16.5798573392,0.006174,"dccr1vsWT",7422494,7422622,129,"+"
"SCO6734",5.6345436894,0.0003098,"dccr1vsWT",7488549,7490018,1470,"+"
"SCO6989",35.1655153498,1.954e-06,"dccr1vsWT",7756901,7757431,531,"-"
"SCO7034",-11.3436758641,2.579e-08,"dccr1vsWT",7821937,7823205,1269,"+"
"SCO7058",-5.3912576564,0.007595,"dccr1vsWT",7847483,7848067,585,"-"
"SCO7098",-6.2809967374,0.0001907,"dccr1vsWT",7888577,7889113,537,"-"
"SCO7172",12.441653771,0.0004549,"dccr1vsWT",7969170,7969406,237,"+"
"SCO7179",20.6932586121,1.832e-05,"dccr1vsWT",7978957,7980885,1929,"-"
"SCO7276",-15.4058375273,1.957e-05,"dccr1vsWT",8084166,8084750,585,"-"
"SCO7285",5.9765032272,0.0003148,"dccr1vsWT",8090745,8092010,1266,"+"
"SCO7317",-6.3733486004,0.0004048,"dccr1vsWT",8122631,8123065,435,"+"
"SCO7399",8.2721665157,0.0002859,"dccr1vsWT",8212293,8213276,984,"-"
"SCO7431",-104.7262969098,0.0162848958,"dccr1vsWT",8244832,8245092,261,"-"
"SCO7462",5.2653315008,0.00143,"dccr1vsWT",8275745,8276512,768,"-"
"SCO7463",5.621288359,0.0002754,"dccr1vsWT",8276830,8278032,1203,"+"
"SCO7464",5.2668181274,0.0006947,"dccr1vsWT",8278029,8278430,402,"+"
"SCO7466",5.965189273,0.0001314,"dccr1vsWT",8278842,8279372,531,"+"
"SCO7522",5.5224976652,0.00176,"dccr1vsWT",8337389,8339560,2172,"-"
"SCO7536",-5.0186597265,0.003078,"dccr1vsWT",8355539,8357758,2220,"+"
"SCO7585",-5.291044779,0.0005641,"dccr1vsWT",8410259,8410657,399,"-"
"SCO7588",5.9536149873,0.0006355,"dccr1vsWT",8413357,8414277,921,"-"
"SCO7613",-7.3069650358,2.019e-05,"dccr1vsWT",8439704,8442160,2457,"-"
"SCO7664",-5.4291902002,0.0002504,"dccr1vsWT",8490209,8490745,537,"-"
"SCO7665",-10.1198681892,5.675e-05,"dccr1vsWT",8490754,8490963,210,"-"
"SCO7693",-6.6358390052,5.913e-06,"dccr1vsWT",8529982,8530953,972,"-"
