"gene","FDR","logFC","add_variable","start","end","width","strand"
"SCO4640",0.00137,1.96716860753263,"Daor1vsWT",5064405,5064998,594,"+"
"SCO4641",0.00392,2.60880924267552,"Daor1vsWT",5065114,5066586,1473,"+"
"SCO4642",0.00202,3.33628338786443,"Daor1vsWT",5066624,5067004,381,"+"
"SCO4843",3.59e-05,1.74846123300404,"Daor1vsWT",5275682,5276191,510,"+"
"SCO4862",6.65e-10,1.59454854955035,"Daor1vsWT",5291195,5291764,570,"+"
"SCO4903",8.36e-10,2.15380533607904,"Daor1vsWT",5336333,5336536,204,"-"
"SCO4983",4.93e-05,2.32481060342048,"Daor1vsWT",5421206,5421628,423,"-"
"SCO4999",3.16e-15,2.19534759832222,"Daor1vsWT",5437435,5437923,489,"+"
"SCO5071",4.43e-27,3.12598165385472,"Daor1vsWT",5513809,5514249,441,"-"
"SCO5072",5.27e-50,4.07895134139482,"Daor1vsWT",5514323,5515246,924,"+"
"SCO5073",8.25e-57,3.99095486039699,"Daor1vsWT",5515243,5516232,990,"+"
"SCO5074",3.11e-56,3.92599941855622,"Daor1vsWT",5516299,5516943,645,"+"
"SCO5075",7.55e-32,2.81966818349646,"Daor1vsWT",5516977,5517897,921,"+"
"SCO5078",6.97e-15,1.78659636189081,"Daor1vsWT",5519987,5520832,846,"+"
"SCO5079",8.37e-24,2.07724299893246,"Daor1vsWT",5520857,5521741,885,"+"
"SCO5080",2.41e-18,2.38681094647222,"Daor1vsWT",5521738,5522883,1146,"+"
"SCO5081",8.7e-17,2.15055967657538,"Daor1vsWT",5522876,5523217,342,"+"
"SCO5085",4.85e-32,2.55090066464752,"Daor1vsWT",5528094,5528861,768,"+"
"SCO5086",4.63e-73,4.20163386116965,"Daor1vsWT",5528935,5529720,786,"-"
"SCO5087",2.4e-46,3.54843662469604,"Daor1vsWT",5529801,5531204,1404,"+"
"SCO5088",3.14e-23,2.80322703643493,"Daor1vsWT",5531201,5532424,1224,"+"
"SCO5089",6.16e-12,2.54596836910529,"Daor1vsWT",5532449,5532709,261,"+"
"SCO5090",1.48e-25,2.60169651648096,"Daor1vsWT",5532706,5533656,951,"+"
"SCO5091",2.36e-17,2.15704371014558,"Daor1vsWT",5533653,5534546,894,"+"
"SCO5092",9.57e-18,2.54596836910529,"Daor1vsWT",5534558,5535091,534,"+"
"SCO5163",9.08e-07,1.8073549220576,"Daor1vsWT",5609892,5610044,153,"-"
"SCO5345",0.000202,1.76128527336162,"Daor1vsWT",5814235,5814786,552,"+"
"SCO5379",3.85e-13,1.98550043030488,"Daor1vsWT",5849216,5849800,585,"+"
"SCO5380",2.05e-05,1.88362081628567,"Daor1vsWT",5849797,5849985,189,"+"
"SCO5551",2.94e-05,3.93545974780529,"Daor1vsWT",6050461,6051033,573,"+"
"SCO5644",3.8e-11,1.6915341649192,"Daor1vsWT",6142261,6142887,627,"+"
"SCO5882",0.00148,1.33913738491959,"Daor1vsWT",6439123,6440310,1188,"-"
"SCO5883",0.00022,1.33342373372519,"Daor1vsWT",6440423,6441208,786,"-"
"SCO5884",0.00522,0.948600847493356,"Daor1vsWT",6441276,6442166,891,"-"
"SCO5888",0.000535,1.26303440583379,"Daor1vsWT",6444587,6445594,1008,"+"
"SCO5891",0.00246,0.765534746362977,"Daor1vsWT",6447950,6449548,1599,"+"
"SCO5892",0.00938,0.978195629681652,"Daor1vsWT",6449549,6456442,6894,"+"
"SCO5924",1.69e-05,1.64154602908752,"Daor1vsWT",6493143,6494912,1770,"-"
"SCO6021",8.95e-21,1.65992455840238,"Daor1vsWT",6603996,6605621,1626,"+"
"SCO6091",2.47e-15,2.37851162325373,"Daor1vsWT",6690041,6692311,2271,"-"
"SCO6197",4.81e-08,2.01792190799726,"Daor1vsWT",6807680,6808222,543,"-"
"SCO6198",0.000134,2.13093086982645,"Daor1vsWT",6808799,6812269,3471,"+"
"SCO6199",0.000488,1.82374936030827,"Daor1vsWT",6812417,6814648,2232,"+"
"SCO6228",5.07e-13,1.92219784839637,"Daor1vsWT",6850590,6851204,615,"+"
"SCO6265",8.31e-17,2.09423606984577,"Daor1vsWT",6890528,6891175,648,"-"
"SCO6266",3.17e-50,5.08321336824898,"Daor1vsWT",6891293,6892237,945,"+"
"SCO6267",1.05e-18,2.48284828306847,"Daor1vsWT",6892353,6893207,855,"+"
"SCO6268",0.00233,3.70043971814109,"Daor1vsWT",6893258,6894022,765,"-"
"SCO6272",0.00163,6.0703893278914,"Daor1vsWT",6899170,6900822,1653,"+"
"SCO6273",0.000777,6.8073549220576,"Daor1vsWT",6900898,6907356,6459,"-"
"SCO6274",0.000495,6.37677657188298,"Daor1vsWT",6907413,6918143,10731,"-"
"SCO6275",0.00037,6.7279204545632,"Daor1vsWT",6918286,6931959,13674,"-"
"SCO6276",0.000541,8.81057163474115,"Daor1vsWT",6932285,6933607,1323,"+"
"SCO6277",0.00044,7.85174904141606,"Daor1vsWT",6933604,6934464,861,"+"
"SCO6278",0.000636,7.91886323727459,"Daor1vsWT",6934507,6936138,1632,"+"
"SCO6279",0.000855,8.11374216604919,"Daor1vsWT",6936149,6937705,1557,"+"
"SCO6280",2.87e-07,5.16591193893569,"Daor1vsWT",6938012,6939643,1632,"+"
"SCO6281",0.000215,5.25550073314839,"Daor1vsWT",6939907,6941544,1638,"+"
"SCO6282",0.000506,9.23601419190008,"Daor1vsWT",6941746,6942543,798,"-"
"SCO6283",0.00197,5.33628338786443,"Daor1vsWT",6942661,6943506,846,"+"
"SCO6284",0.00475,4.04439411935845,"Daor1vsWT",6943673,6945265,1593,"+"
"SCO6285",0.000503,5.5077946401987,"Daor1vsWT",6945280,6945543,264,"+"
"SCO6286",0.0018,4.55458885167764,"Daor1vsWT",6945705,6946379,675,"-"
"SCO6287",0.00149,4.74953426766926,"Daor1vsWT",6946617,6947423,807,"+"
"SCO6288",0.0017,4.41278152533848,"Daor1vsWT",6947584,6948414,831,"+"
"SCO6289",0.005,2.0703893278914,"Daor1vsWT",6948589,6949758,1170,"+"
"SCO6291",0.00122,1.70043971814109,"Daor1vsWT",6950002,6951537,1536,"+"
"SCO6328",8.25e-05,1.70487196445635,"Daor1vsWT",6987864,6988172,309,"-"
"SCO6346",0.000408,1.64616265715789,"Daor1vsWT",7004372,7004848,477,"+"
"SCO6421",2.2e-23,2.1243281350022,"Daor1vsWT",7090613,7091761,1149,"+"
"SCO6422",2.27e-15,1.91838623444635,"Daor1vsWT",7091758,7092432,675,"+"
"SCO6544",4.92e-29,2.53605290024021,"Daor1vsWT",7237214,7237894,681,"+"
"SCO6574",0.000166,1.76128527336162,"Daor1vsWT",7281003,7282094,1092,"+"
"SCO6576",1.04e-05,1.65535182861255,"Daor1vsWT",7283052,7283789,738,"+"
"SCO6647",3.05e-11,2.09761079662642,"Daor1vsWT",7383632,7384426,795,"-"
"SCO6650",7.13e-18,1.71369581484336,"Daor1vsWT",7385660,7386058,399,"+"
"SCO6651",9.07e-28,2.55090066464752,"Daor1vsWT",7386055,7387293,1239,"+"
"SCO6652",3.15e-18,2.20163386116965,"Daor1vsWT",7387290,7388675,1386,"+"
"SCO6653",1.93e-16,2.23572705983806,"Daor1vsWT",7388672,7389874,1203,"+"
"SCO6749",5.5e-07,1.70487196445635,"Daor1vsWT",7505756,7506241,486,"+"
"SCO6773",6.24e-09,1.64616265715789,"Daor1vsWT",7531179,7532117,939,"+"
"SCO6821",1.87e-10,1.61823865559545,"Daor1vsWT",7584942,7585664,723,"-"
"SCO6850",1.23e-05,1.88752527074159,"Daor1vsWT",7623285,7624064,780,"-"
"SCO6852",1.45e-05,1.81557542886257,"Daor1vsWT",7624664,7625485,822,"-"
"SCO6858",2.64e-06,1.63691458035588,"Daor1vsWT",7628905,7629609,705,"-"
"SCO6872",7.7e-06,1.64154602908752,"Daor1vsWT",7642591,7643502,912,"-"
"SCO6880",2e-07,1.67355642399014,"Daor1vsWT",7648378,7649820,1443,"-"
"SCO6882",0.000185,1.97085365434048,"Daor1vsWT",7651368,7652060,693,"-"
"SCO6900",2.46e-06,1.92219784839637,"Daor1vsWT",7665000,7665629,630,"+"
"SCO6905",1.29e-05,1.64616265715789,"Daor1vsWT",7669027,7669404,378,"+"
"SCO6921",6.44e-10,1.59931779369823,"Daor1vsWT",7684057,7685787,1731,"-"
"SCO6924",3.24e-06,1.63691458035588,"Daor1vsWT",7687305,7688201,897,"-"
"SCO6957",0.000122,1.59454854955035,"Daor1vsWT",7725214,7725813,600,"+"
"SCO6974",2.95e-09,1.70043971814109,"Daor1vsWT",7741171,7741956,786,"-"
"SCO6977",4.19e-08,1.67355642399014,"Daor1vsWT",7744831,7745727,897,"-"
"SCO7008",1.78e-05,1.64154602908752,"Daor1vsWT",7782661,7784535,1875,"+"
"SCO7034",6.29e-07,1.63691458035588,"Daor1vsWT",7821937,7823205,1269,"+"
"SCO7066",0.005,2.86789646399265,"Daor1vsWT",7855137,7857152,2016,"+"
"SCO7082",9.06e-05,1.62293035092018,"Daor1vsWT",7872043,7872507,465,"-"
"SCO7098",8.5e-06,1.60880924267552,"Daor1vsWT",7888577,7889113,537,"-"
"SCO7106",6.6e-06,1.72246602447109,"Daor1vsWT",7896424,7896690,267,"+"
"SCO7113",4.44e-06,1.89141918684608,"Daor1vsWT",7902488,7903123,636,"+"
"SCO7114",1.32e-05,1.59454854955035,"Daor1vsWT",7903130,7904521,1392,"-"
"SCO7122",1.2e-05,1.76128527336162,"Daor1vsWT",7912792,7913283,492,"+"
"SCO7125",2.18e-05,1.58976348698498,"Daor1vsWT",7917541,7918281,741,"-"
"SCO7152",2.62e-08,2.07382023329167,"Daor1vsWT",7945453,7946277,825,"+"
"SCO7160",1.26e-05,1.59931779369823,"Daor1vsWT",7956000,7956833,834,"-"
"SCO7165",2.05e-05,1.6959938131099,"Daor1vsWT",7961479,7962390,912,"-"
"SCO7192",0.00404,2.10433665981474,"Daor1vsWT",7995629,7996294,666,"+"
"SCO7225",6.57e-09,1.99276843076892,"Daor1vsWT",8030688,8031422,735,"+"
"SCO7273",0.000146,1.68257329734758,"Daor1vsWT",8081893,8082303,411,"+"
"SCO7345",3.79e-07,1.67355642399014,"Daor1vsWT",8158531,8159511,981,"-"
"SCO7450",4.97e-05,1.93357263826102,"Daor1vsWT",8265291,8265896,606,"+"
"SCO7488",1.39e-05,1.85598969730848,"Daor1vsWT",8298748,8299779,1032,"-"
"SCO7489",2.18e-09,1.64154602908752,"Daor1vsWT",8299813,8301216,1404,"-"
"SCO7513",0.000148,1.71369581484336,"Daor1vsWT",8327480,8328367,888,"-"
"SCO7536",1.39e-16,3.78659636189081,"Daor1vsWT",8355539,8357758,2220,"+"
"SCO7577",1.3e-07,1.87578006306849,"Daor1vsWT",8400971,8402080,1110,"+"
"SCO7638",1.22e-18,2.54349588342577,"Daor1vsWT",8466854,8468158,1305,"-"
"SCO7669",0.000135,1.62293035092018,"Daor1vsWT",8493549,8494580,1032,"-"
"SCO7671",0.0074,1.6507645591169,"Daor1vsWT",8495102,8496340,1239,"-"
"SCO7717",1.07e-08,2.57288966842058,"Daor1vsWT",8552007,8552420,414,"-"
"SCO7759",3.33e-06,1.78240856492737,"Daor1vsWT",8589189,8590784,1596,"+"
"SCO7761",4.97e-05,1.9560566524124,"Daor1vsWT",8591283,8591942,660,"+"
"SCO7762",2.32e-05,2.15704371014558,"Daor1vsWT",8592094,8593056,963,"+"
"SCO0072",1.76e-28,2.53356334821451,"Daor1vsWT",60740,64093,3354,"-"
"SCO0103",2.47e-23,2.17632277264046,"Daor1vsWT",85336,86643,1308,"+"
"SCO0104",8.38e-11,1.76128527336162,"Daor1vsWT",86640,87311,672,"+"
"SCO0130",2.81e-41,2.41413553298445,"Daor1vsWT",120457,121371,915,"+"
"SCO0197",5.29e-08,1.77399632511117,"Daor1vsWT",187019,187459,441,"-"
"SCO0212",3.78e-08,1.85598969730848,"Daor1vsWT",202370,202843,474,"-"
"SCO0217",3.6e-07,1.97452931248388,"Daor1vsWT",210183,211751,1569,"+"
