"logFC","FDR","gene","add_variable","start","end","width","strand"
2.9462,0,"SCO2953","liquid culture",3211306,3212094,789,"-"
4.069,0,"SCO7342","liquid culture",8156060,8156584,525,"+"
4.6699,0,"SCO4772","liquid culture",5184449,5185669,1221,"+"
2.6063,0,"SCO1575","liquid culture",1685643,1686383,741,"+"
4.6174,0,"SCO1629","liquid culture",1742651,1743058,408,"-"
1.903,0,"SCO5311","liquid culture",5783226,5783972,747,"-"
2.7848,0,"SCO6202","liquid culture",6817450,6818094,645,"-"
2.7572,0,"SCO5415","liquid culture",5883756,5885456,1701,"+"
3.435,0,"SCO2529","liquid culture",2727564,2728634,1071,"+"
3.9657,0,"SCO4920","liquid culture",5354229,5355182,954,"+"
-1.6502,0,"SCO3482","liquid culture",3845809,3846690,882,"-"
1.3759,1e-06,"SCO0932","liquid culture",979340,980104,765,"+"
2.3476,0,"SCO2699","liquid culture",2943092,2943364,273,"+"
2.0998,0,"SCO2250","liquid culture",2417879,2418706,828,"+"
2.0742,0,"SCO2572","liquid culture",2778973,2780259,1287,"+"
3.8087,0,"SCO2560","liquid culture",2759799,2762177,2379,"-"
-1.4487,6.8e-05,"SCO3484","liquid culture",3847685,3848995,1311,"-"
3.0732,0,"SCO3940","liquid culture",4335483,4336355,873,"-"
4.3043,0,"SCO1628","liquid culture",1742238,1742654,417,"-"
0.5647,0.043011,"SCO0834","liquid culture",882826,883014,189,"-"
2.4806,0,"SCO1189","liquid culture",1262121,1262546,426,"+"
3.6669,0,"SCO5218","liquid culture",5676345,5677670,1326,"+"
0.1886,0.384883,"SCO0591","liquid culture",633119,633958,840,"+"
3.2073,0,"SCO0389","liquid culture",409237,410772,1536,"+"
2.5628,0,"SCO6993","liquid culture",7760983,7762803,1821,"+"
3.4582,0,"SCO0409","liquid culture",429492,429956,465,"-"
4.4859,0,"SCO0385","liquid culture",401465,403030,1566,"+"
0.9986,0.000847,"SCO0678","liquid culture",720985,721158,174,"-"
1.6471,0,"SCO5319","liquid culture",5789484,5789957,474,"-"
4.593,0,"SCO1534","liquid culture",1641143,1641868,726,"+"
3.0846,0,"SCO4566","liquid culture",4983268,4984140,873,"+"
5.8642,0,"SCO5085","liquid culture",5528094,5528861,768,"+"
3.4466,0,"SCO1533","liquid culture",1640405,1640971,567,"-"
4.4419,0,"SCO0384","liquid culture",400179,401468,1290,"+"
3.0267,0,"SCO4226","liquid culture",4631601,4631849,249,"-"
1.7572,2e-06,"SCO2790","liquid culture",3045619,3046146,528,"-"
1.7071,3e-06,"SCO4135","liquid culture",4550161,4551054,894,"+"
2.106,4e-06,"SCO4569","liquid culture",4988011,4989414,1404,"+"
0.8208,0.001899,"SCO3924","liquid culture",4318118,4318330,213,"+"
3.5691,0,"SCO2573","liquid culture",2780292,2781866,1575,"+"
0.615,0.001025,"SCO1172","liquid culture",1234835,1235440,606,"+"
-0.3806,0.010949,"SCO7452","liquid culture",8267283,8268311,1029,"-"
3.1969,0,"SCO0038","liquid culture",31146,31274,129,"-"
3.2692,0,"SCO4675","liquid culture",5106331,5107239,909,"-"
2.2778,0,"SCO2408","liquid culture",2581080,2582705,1626,"+"
3.345,0,"SCO0685","liquid culture",726401,726808,408,"-"
2.5104,0,"SCO3207","liquid culture",NA,NA,NA,NA
1.7553,3e-06,"SCO5125","liquid culture",5572261,5573124,864,"-"
1.2415,2.5e-05,"SCO2251","liquid culture",2418753,2419427,675,"+"
4.3563,0,"SCO1673","liquid culture",1794077,1794265,189,"+"
3.6474,0,"SCO3926","liquid culture",4319501,4319911,411,"+"
1.6759,0,"SCO2311","liquid culture",2481918,2483546,1629,"+"
4.1374,0,"SCO5276","liquid culture",5741653,5742078,426,"+"
1.1989,7.1e-05,"SCO5864","liquid culture",6421618,6421914,297,"+"
3.8082,0,"SCO5827","liquid culture",6376354,6377946,1593,"+"
2.8363,0,"SCO0390","liquid culture",410774,412006,1233,"+"
1.5882,0,"SCO4411","liquid culture",4828773,4829285,513,"+"
0.9801,0.000371,"SCO6715","liquid culture",7469875,7470120,246,"+"
6.2988,0,"SCO5075","liquid culture",5516977,5517897,921,"+"
3.4031,0,"SCO3195","liquid culture",3501532,3502212,681,"+"
4.6163,0,"SCO6795","liquid culture",7557438,7557872,435,"+"
5.8724,0,"SCO4187","liquid culture",4597040,4597225,186,"-"
2.8972,0,"SCO5176","liquid culture",5624510,5625622,1113,"+"
2.2055,0,"SCO1121","liquid culture",1179094,1179834,741,"+"
3.9124,0,"SCO5249","liquid culture",5709624,5711030,1407,"+"
4.3142,0,"SCO1357","liquid culture",1434718,1435179,462,"+"
-0.5016,0.002767,"SCO0986","liquid culture",1040764,1041465,702,"+"
3.2342,0,"SCO1356","liquid culture",1434218,1434715,498,"+"
-0.6158,0.003352,"SCO0850","liquid culture",896543,896968,426,"+"
1.7774,4e-06,"SCO1174","liquid culture",1237012,1238535,1524,"+"
3.7068,0,"SCO5219","liquid culture",5677676,5678932,1257,"+"
3.8773,0,"SCO1626","liquid culture",1740065,1741561,1497,"-"
3.9346,0,"SCO0391","liquid culture",412009,413250,1242,"+"
1.9276,0,"SCO6170","liquid culture",6773787,6774677,891,"+"
5.5136,0,"SCO5090","liquid culture",5532706,5533656,951,"+"
0.6576,0.000297,"SCO6424","liquid culture",7093614,7094609,996,"-"
2.0483,0,"SCO2823","liquid culture",3083158,3084060,903,"-"
1.8702,1e-06,"SCO4567","liquid culture",4984137,4985486,1350,"+"
0.3872,0.212985,"SCO2404","liquid culture",2575786,2576895,1110,"+"
-0.2242,0.319087,"SCO2703","liquid culture",2945615,2945917,303,"-"
2.2068,2e-06,"SCO5268","liquid culture",5727255,5727725,471,"+"
0.962,1.2e-05,"SCO7261","liquid culture",8072211,8072654,444,"-"
3.8812,0,"SCO5605","liquid culture",6107817,6108128,312,"+"
2.9944,0,"SCO1543","liquid culture",1652074,1652535,462,"-"
-0.154,0.488432,"SCO6149","liquid culture",6750131,6751231,1101,"+"
3.2042,0,"SCO1160","liquid culture",1218590,1221178,2589,"-"
1.9735,0,"SCO4883","liquid culture",5315652,5316884,1233,"+"
1.4709,0,"SCO2236","liquid culture",2406202,2406456,255,"+"
3.9554,0,"SCO5511","liquid culture",5999549,6002875,3327,"+"
1.925,0,"SCO4348","liquid culture",4761670,4763841,2172,"-"
2.8572,0,"SCO1157","liquid culture",1217041,1217655,615,"-"
-1.3102,0,"SCO3481","liquid culture",3844670,3845782,1113,"-"
-0.2379,0.209542,"SCO1344","liquid culture",1419752,1421344,1593,"-"
3.8314,0,"SCO5803","liquid culture",6345664,6346368,705,"-"
4.7906,0,"SCO5390","liquid culture",5858868,5859896,1029,"-"
2.1594,0,"SCO1451","liquid culture",1547982,1549133,1152,"-"
1.1865,1e-05,"SCO0931","liquid culture",978713,979324,612,"+"
3.4313,0,"SCO4568","liquid culture",4985483,4988014,2532,"+"
1.3654,1e-04,"SCO0725","liquid culture",769688,770065,378,"+"
0.2635,0.287727,"SCO6831","liquid culture",7602498,7602773,276,"+"
0.0504,0.829086,"SCO6569","liquid culture",7272140,7273186,1047,"+"
1.6414,8e-06,"SCO0919","liquid culture",964984,965943,960,"-"
4.4238,0,"SCO2055","liquid culture",2202760,2204337,1578,"+"
6.5109,0,"SCO6932","liquid culture",7699664,7699795,132,"-"
-0.5486,0.000577,"SCO6160","liquid culture",6762662,6765049,2388,"-"
4.2398,0,"SCO0401","liquid culture",422271,423596,1326,"+"
2.0986,0,"SCO7771","liquid culture",8599443,8599944,502,"-"
0.8014,0.000823,"SCO1030","liquid culture",1087803,1088321,519,"+"
2.1804,0,"SCO6996","liquid culture",7767762,7768337,576,"+"
-0.0887,0.696223,"SCO4057","liquid culture",4449455,4450345,891,"-"
3.1363,0,"SCO1589","liquid culture",1699336,1699530,195,"+"
3.5057,0,"SCO0398","liquid culture",419539,420486,948,"+"
0.3819,0.025377,"SCO6324","liquid culture",6984273,6984983,711,"+"
-1.2979,1e-06,"SCO5965","liquid culture",6535301,6535768,468,"+"
3.8438,0,"SCO0386","liquid culture",403034,404968,1935,"+"
-1.2108,1.4e-05,"SCO3483","liquid culture",3846702,3847649,948,"-"
2.2005,0,"SCO4545","liquid culture",4961108,4962022,915,"+"
2.5723,0,"SCO6797","liquid culture",7558302,7558856,555,"+"
1.4244,2e-06,"SCO4301","liquid culture",4716256,4717095,840,"-"
1.629,4e-06,"SCO7079","liquid culture",7869233,7869625,393,"+"
0.379,0.018701,"SCO6173","liquid culture",6777908,6779365,1458,"+"
0.1947,0.274869,"SCO5315","liquid culture",5786122,5786601,480,"-"
1.1727,0.003619,"SCO7040","liquid culture",7832790,7834235,1446,"-"
2.4332,0,"SCO0974","liquid culture",1025757,1027076,1320,"-"
2.3656,2.1e-05,"SCO6997","liquid culture",7768334,7768825,492,"+"
3.5144,0,"SCO2527","liquid culture",2724600,2725295,696,"-"
3.1285,0,"SCO6079","liquid culture",6674122,6674673,552,"+"
2.1418,0,"SCO0588","liquid culture",629185,630912,1728,"-"
1.7008,1e-05,"SCO2575","liquid culture",2782388,2782615,228,"-"
1.0604,1.8e-05,"SCO2035","liquid culture",2186336,2187163,828,"-"
4.0983,0,"SCO5444","liquid culture",5922464,5925088,2625,"+"
-0.4935,0.005942,"SCO7384","liquid culture",8195889,8197229,1341,"+"
2.6342,0,"SCO4800","liquid culture",5224492,5224908,417,"+"
3.827,0,"SCO5391","liquid culture",5860153,5860485,333,"+"
2.565,0,"SCO5460","liquid culture",5947312,5947974,663,"+"
0.411,0.104889,"SCO7337","liquid culture",8151064,8151579,516,"+"
2.8851,0,"SCO5012","liquid culture",5449378,5449575,198,"+"
4.5312,0,"SCO5581","liquid culture",6083101,6083772,672,"-"
2.5863,0,"SCO5420","liquid culture",5890196,5890843,648,"+"
1.5711,0,"SCO4789","liquid culture",5209775,5210290,516,"+"
0.9163,0.000537,"SCO5644","liquid culture",6142261,6142887,627,"+"
-1.1905,1e-06,"SCO3475","liquid culture",3835870,3837003,1134,"-"
4.09,0,"SCO1838","liquid culture",1966275,1967078,804,"-"
0.3906,0.125914,"SCO6211","liquid culture",6824153,6825088,936,"+"
-0.2877,0.330453,"SCO1823","liquid culture",1954009,1954383,375,"-"
0.5807,0.001428,"SCO6167","liquid culture",6769408,6770778,1371,"+"
0.9288,0.000452,"SCO7700","liquid culture",8537030,8538352,1323,"+"
1.0371,9.9e-05,"SCO5610","liquid culture",6110051,6110413,363,"-"
2.7015,0,"SCO1173","liquid culture",1235615,1236874,1260,"+"
-0.8223,4e-06,"SCO3704","liquid culture",4081222,4082031,810,"+"
1.6677,1.2e-05,"SCO0615","liquid culture",653448,653906,459,"+"
1.0626,1e-06,"SCO2465","liquid culture",2653137,2654327,1191,"-"
1.2716,5e-06,"SCO2246","liquid culture",2415308,2416084,777,"-"
2.1753,0,"SCO5013","liquid culture",5449578,5450174,597,"+"
0.8034,2.2e-05,"SCO5029","liquid culture",5464767,5465483,717,"+"
1.1163,1e-06,"SCO2237","liquid culture",2406519,2406965,447,"+"
1.5132,4e-06,"SCO3365","liquid culture",3722414,3723256,843,"-"
4.4403,0,"SCO5100","liquid culture",5541010,5541762,753,"+"
1.7445,0,"SCO5442","liquid culture",5918375,5920075,1701,"-"
-1.3543,9e-06,"SCO6161","liquid culture",6765129,6765518,390,"-"
2.2474,1.5e-05,"SCO4574","liquid culture",4993219,4994790,1572,"+"
4.4325,0,"SCO7189","liquid culture",7992891,7993154,264,"-"
2.5464,0,"SCO4349","liquid culture",4763838,4765553,1716,"-"
2.1709,0,"SCO4239","liquid culture",4644506,4644952,447,"-"
0.482,0.014994,"SCO5785","liquid culture",6322367,6323026,660,"+"
0.3377,0.04639,"SCO2423","liquid culture",2596787,2597419,633,"+"
0.3655,0.024962,"SCO7334","liquid culture",8146713,8148431,1719,"-"
2.0119,0,"SCO1943","liquid culture",2077084,2077419,336,"-"
4.8168,0,"SCO5970","liquid culture",6541507,6541977,471,"+"
4.7069,0,"SCO5079","liquid culture",5520857,5521741,885,"+"
0.9528,0.000542,"SCO4767","liquid culture",5179007,5179345,339,"-"
1.0693,1e-06,"SCO5240","liquid culture",5701855,5702112,258,"-"
2.346,0,"SCO4575","liquid culture",4994787,4996445,1659,"+"
0.5763,0.040253,"SCO4425","liquid culture",4842382,4842573,192,"-"
0.83,0.000523,"SCO2407","liquid culture",2579862,2580962,1101,"+"
1.621,0,"SCO6979","liquid culture",7746957,7747979,1023,"+"
1.122,9.7e-05,"SCO0243","liquid culture",231475,231654,180,"+"
2.5439,0,"SCO2520","liquid culture",2717003,2718136,1134,"-"
1.614,3e-06,"SCO6323","liquid culture",6983231,6983887,657,"-"
5.6038,0,"SCO5086","liquid culture",5528935,5529720,786,"-"
0.6858,4.6e-05,"SCO2908","liquid culture",3160574,3161326,753,"-"
3.8843,0,"SCO3975","liquid culture",4377505,4378143,639,"-"
5.8613,0,"SCO5084","liquid culture",5525809,5527944,2136,"+"
1.8342,0,"SCO5244","liquid culture",5705089,5705502,414,"-"
1.4545,0.000187,"SCO6027","liquid culture",6615297,6616514,1218,"-"
0.1278,0.614163,"SCO6209","liquid culture",6823172,6823747,576,"+"
1.3033,3.6e-05,"SCO5561","liquid culture",6059732,6059965,234,"-"
0.7169,0.011549,"SCO5108","liquid culture",5550582,5551418,837,"-"
0.5298,0.004487,"SCO5189","liquid culture",5647169,5647570,402,"+"
0.0794,0.739101,"SCO2574","liquid culture",2782151,2782384,234,"-"
4.1855,0,"SCO5790","liquid culture",6327186,6327473,288,"-"
2.4815,1e-06,"SCO4565","liquid culture",4981949,4983271,1323,"+"
0.8817,0.000291,"SCO6708","liquid culture",7460154,7460492,339,"+"
2.1085,0.000104,"SCO4562","liquid culture",4980274,4980633,360,"+"
2.5738,0,"SCO3350","liquid culture",3708278,3710074,1797,"-"
-0.3036,0.306672,"SCO7551","liquid culture",8373704,8373907,204,"-"
4.2172,0,"SCO5078","liquid culture",5519987,5520832,846,"+"
2.8606,0,"SCO4039","liquid culture",4434208,4434756,549,"-"
0.7778,0.001845,"SCO6908","liquid culture",7672687,7673991,1305,"-"
1.1652,1e-06,"SCO2079","liquid culture",2232200,2232841,642,"-"
-0.0848,0.72922,"SCO0915","liquid culture",960501,960758,258,"+"
2.6714,0,"SCO0943","liquid culture",988826,989341,516,"+"
2.069,0,"SCO7226","liquid culture",8031545,8031985,441,"+"
1.9382,0.000228,"SCO6812","liquid culture",7574420,7574779,360,"+"
-1.1502,1e-06,"SCO1828","liquid culture",1959189,1959422,234,"+"
2.4062,0,"SCO5758","liquid culture",6294450,6294824,375,"+"
2.7911,0,"SCO2008","liquid culture",2149264,2150520,1257,"+"
0.339,0.299645,"SCO5343","liquid culture",5813654,5813809,156,"+"
4.3905,0,"SCO0673","liquid culture",712209,712736,528,"-"
1.0485,1e-06,"SCO7335","liquid culture",8148428,8150437,2010,"-"
1.0801,3e-06,"SCO3547","liquid culture",3920987,3923371,2385,"-"
1.6204,0,"SCO4769","liquid culture",5180620,5181207,588,"+"
1.3955,0,"SCO2522","liquid culture",2719217,2720170,954,"-"
3.2573,0,"SCO4581","liquid culture",5002738,5003547,810,"+"
0.4888,0.00273,"SCO4108","liquid culture",4507333,4508376,1044,"+"
6.3879,0,"SCO6931","liquid culture",7699447,7699626,180,"-"
2.0969,1e-06,"SCO4564","liquid culture",4981197,4981952,756,"+"
0.6551,0.059436,"SCO7306","liquid culture",8113809,8114060,252,"-"
0.6274,0.000224,"SCO6595","liquid culture",7312483,7313565,1083,"+"
1.0342,2e-06,"SCO6172","liquid culture",6775270,6777756,2487,"+"
1.6993,0,"SCO0584","liquid culture",626369,627631,1263,"-"
3.426,0,"SCO1241","liquid culture",1313128,1313640,513,"-"
3.1712,0,"SCO6794","liquid culture",7555369,7557321,1953,"+"
0.4006,0.008466,"SCO7330","liquid culture",8141668,8141904,237,"+"
2.752,0,"SCO1470","liquid culture",1570514,1570885,372,"+"
1.8739,0,"SCO0586","liquid culture",628247,628588,342,"-"
0.3401,0.064436,"SCO6515","liquid culture",7205258,7205800,543,"-"
0.877,0.000372,"SCO2727","liquid culture",2974661,2975038,378,"-"
-0.0237,0.921175,"SCO6375","liquid culture",7037737,7038399,663,"-"
1.2203,1.4e-05,"SCO3051","liquid culture",3343070,3344227,1158,"-"
1.5307,0,"SCO4237","liquid culture",4641923,4643638,1716,"+"
1.5181,0,"SCO5819","liquid culture",6366349,6367236,888,"+"
-0.2818,0.378966,"SCO1195","liquid culture",1267321,1267515,195,"-"
0.3127,0.079081,"SCO4819","liquid culture",5249522,5249992,471,"-"
1.407,1.1e-05,"SCO6206","liquid culture",6821469,6822308,840,"-"
1.7568,0,"SCO2726","liquid culture",2973144,2974646,1503,"-"
2.5328,0,"SCO0569","liquid culture",611984,612106,123,"-"
2.3421,0,"SCO3329","liquid culture",3680398,3681213,816,"-"
0.6128,0.000113,"SCO0736","liquid culture",779131,779826,696,"-"
1.4665,0,"SCO0242","liquid culture",231022,231465,444,"+"
1.1986,1.2e-05,"SCO4748","liquid culture",5161764,5162000,237,"+"
0.6607,0.000364,"SCO0411","liquid culture",431327,431551,225,"+"
2.8177,0,"SCO5889","liquid culture",6445654,6445917,264,"+"
1.1512,0,"SCO5799","liquid culture",6338949,6340547,1599,"+"
1.2625,9e-06,"SCO0419","liquid culture",436235,437224,990,"+"
0.8156,7.7e-05,"SCO3925","liquid culture",4318648,4319373,726,"+"
1.5739,3e-06,"SCO7065","liquid culture",7854655,7855026,372,"+"
6.5707,0,"SCO6286","liquid culture",6945705,6946379,675,"-"
0.8044,0.000149,"SCO2391","liquid culture",2563192,2563686,495,"-"
0.2331,0.258256,"SCO6566","liquid culture",7267996,7269378,1383,"+"
1.8312,8e-06,"SCO6906","liquid culture",7669618,7671207,1590,"-"
4.5891,0,"SCO5250","liquid culture",5711116,5712276,1161,"+"
1.9552,0,"SCO1757","liquid culture",1878448,1878741,294,"+"
2.8507,0,"SCO4861","liquid culture",5290562,5291107,546,"+"
1.0611,2e-06,"SCO5575","liquid culture",6072276,6073466,1191,"-"
0.9949,0.000154,"SCO6384","liquid culture",7049382,7051151,1770,"-"
1.0293,4e-06,"SCO5106","liquid culture",5547828,5548607,780,"-"
-0.396,0.009887,"SCO2153","liquid culture",2314942,2316216,1275,"-"
0.4422,0.026761,"SCO3905","liquid culture",4302661,4302966,306,"-"
