"gene","add_variable","logFC","FDR","start","end","strand"
"vnz_09540","DbldCcsWT14h",-4.84464722756701,2.01963873024381e-07,2170043,2170645,"+"
"vnz_00235","DbldCvsWT10h",-5.82245522261906,2.03616791984522e-07,52914,54080,"+"
"vnz_00235","DbldCcsWT14h",-4.13835940542314,5.4439107718763e-07,52914,54080,"+"
"vnz_07820","DbldCvsWT10h",-5.41840114699248,2.03616791984522e-07,1783512,1785644,"+"
"vnz_07820","DbldCcsWT14h",-4.19286605786602,5.13874968331808e-07,1783512,1785644,"+"
"vnz_10690","DbldCvsWT10h",-4.79558485631653,2.03616791984522e-07,2358842,2359213,"-"
"vnz_10690","DbldCcsWT14h",-2.90524563006315,3.26975299385858e-06,2358842,2359213,"-"
"vnz_23850","DbldCvsWT10h",-7.97889818315837,2.03616791984522e-07,5187857,5189551,"+"
"vnz_23850","DbldCcsWT14h",-7.13122530445451,2.52243652748848e-07,5187857,5189551,"+"
"vnz_28225","DbldCvsWT10h",-6.32421849716583,2.03616791984522e-07,6190573,6191283,"-"
"vnz_28225","DbldCcsWT14h",-0.425869487423517,0.0947181362129628,6190573,6191283,"-"
"vnz_28875","DbldCvsWT10h",-7.31707978872628,2.03616791984522e-07,6360935,6362896,"-"
"vnz_28875","DbldCcsWT14h",-2.71149939360414,1.89689267786329e-05,6360935,6362896,"-"
"vnz_13895","DbldCvsWT10h",-6.30762118603207,2.09757853279363e-07,3105116,3105550,"+"
"vnz_13895","DbldCcsWT14h",-6.65911618244993,2.19274744397231e-07,3105116,3105550,"+"
"vnz_13905","DbldCvsWT10h",-6.33357794335352,2.09757853279363e-07,3105987,3106832,"-"
"vnz_13905","DbldCcsWT14h",-5.33671920813583,3.6412220105525e-07,3105987,3106832,"-"
"vnz_28195","DbldCvsWT10h",-6.50799391103979,2.09757853279363e-07,6186699,6187403,"-"
"vnz_28195","DbldCcsWT14h",-1.40279599821835,0.000487858317050548,6186699,6187403,"-"
"vnz_09005","DbldCvsWT10h",-3.62046922736113,1.3662691685901e-06,2048758,2049375,"-"
"vnz_09005","DbldCcsWT14h",-6.26429270206307,2.11276082854542e-07,2048758,2049375,"-"
"vnz_15140","DbldCvsWT10h",-4.74305009244796,3.02051835618057e-07,3374429,3375289,"+"
"vnz_15140","DbldCcsWT14h",-5.52926558438919,2.11276082854542e-07,3374429,3375289,"+"
"vnz_22685","DbldCvsWT10h",-3.49021446255983,7.74661908728441e-07,4943159,4943704,"-"
"vnz_22685","DbldCcsWT14h",-4.9863601259311,2.11276082854542e-07,4943159,4943704,"-"
"vnz_31925","DbldCvsWT10h",-3.58352171702003,1.18856750803658e-06,7062004,7062627,"+"
"vnz_31925","DbldCcsWT14h",-5.70818974709214,2.11276082854542e-07,7062004,7062627,"+"
"vnz_21565","DbldCvsWT10h",4.25465139635196,2.1218716736501e-07,4719521,4720126,"-"
"vnz_21565","DbldCcsWT14h",3.78589808101773,3.37187002578908e-07,4719521,4720126,"-"
"vnz_28895","DbldCvsWT10h",-7.23029717727269,2.1218716736501e-07,6365461,6366183,"-"
"vnz_28895","DbldCcsWT14h",-2.84217805738801,2.85994123969389e-05,6365461,6366183,"-"
"vnz_28885","DbldCvsWT10h",-7.80840789284493,2.13713898659649e-07,6363318,6363635,"-"
"vnz_28885","DbldCcsWT14h",-2.88677521049752,3.48929574639051e-05,6363318,6363635,"-"
"vnz_36055","DbldCvsWT10h",-5.7876029420529,2.13713898659649e-07,8041163,8041378,"+"
"vnz_36055","DbldCcsWT14h",-5.06310164854513,2.82942861556891e-07,8041163,8041378,"+"
"vnz_24295","DbldCvsWT10h",-6.76205633912142,2.1763172809495e-07,5290181,5290771,"-"
"vnz_24295","DbldCcsWT14h",-6.66578960904847,2.4513181132383e-07,5290181,5290771,"-"
"vnz_28220","DbldCvsWT10h",-5.20826205051333,2.19178440318664e-07,6189872,6190576,"-"
"vnz_28220","DbldCcsWT14h",0.0239123063364877,0.920413007130098,6189872,6190576,"-"
"vnz_36040","DbldCvsWT10h",-4.87477280715412,2.19178440318664e-07,8039331,8039840,"+"
"vnz_36040","DbldCcsWT14h",-2.20095961144334,1.04300717777826e-05,8039331,8039840,"+"
"vnz_20840","DbldCvsWT10h",-7.53929901839484,2.29826114995846e-07,4564408,4565094,"-"
"vnz_20840","DbldCcsWT14h",-5.6701227067976,8.56347780746489e-07,4564408,4565094,"-"
"vnz_24920","DbldCvsWT10h",-4.85416380712478,2.43761846497438e-07,5424076,5425110,"-"
"vnz_24920","DbldCcsWT14h",-5.14003055978654,2.32966220765393e-07,5424076,5425110,"-"
"vnz_30460","DbldCvsWT10h",-3.26554623633366,1.10120755248307e-06,6721408,6722421,"+"
"vnz_30460","DbldCcsWT14h",-4.7377710438057,2.36979356600068e-07,6721408,6722421,"+"
"vnz_32430","DbldCvsWT10h",-3.98466732961472,1.45153962640385e-06,7182113,7182997,"-"
"vnz_32430","DbldCcsWT14h",-6.6339943163998,2.40141645622202e-07,7182113,7182997,"-"
"vnz_22870","DbldCvsWT10h",-4.29586825873215,2.88543738521222e-07,4982472,4982879,"-"
"vnz_22870","DbldCcsWT14h",-4.69240252529427,2.41516697026132e-07,4982472,4982879,"-"
"vnz_26535","DbldCvsWT10h",-3.13034214861367,1.08228723418477e-06,5797809,5801537,"+"
"vnz_26535","DbldCcsWT14h",-4.46384577664833,2.41516697026132e-07,5797809,5801537,"+"
"vnz_06575","DbldCvsWT10h",-5.62495432236026,2.43761846497438e-07,1509265,1510029,"+"
"vnz_06575","DbldCcsWT14h",-5.78645690393763,3.02547656362174e-07,1509265,1510029,"+"
"vnz_19630","DbldCvsWT10h",-6.15440105910477,2.43761846497438e-07,4314251,4314661,"-"
"vnz_19630","DbldCcsWT14h",-6.76112213435928,2.4513181132383e-07,4314251,4314661,"-"
"vnz_28275","DbldCvsWT10h",-5.50634388343729,2.43761846497438e-07,6201574,6202179,"-"
"vnz_28275","DbldCcsWT14h",-0.390858775427717,0.12159987206154,6201574,6202179,"-"
"vnz_28880","DbldCvsWT10h",-7.42940319157383,2.43761846497438e-07,6362896,6363318,"-"
"vnz_28880","DbldCcsWT14h",-2.84571539281684,3.05595269902858e-05,6362896,6363318,"-"
"vnz_03435","DbldCvsWT10h",-0.61455770716242,0.0166900549081593,829042,829236,"+"
"vnz_03435","DbldCcsWT14h",-5.02874754728324,2.4513181132383e-07,829042,829236,"+"
"vnz_22100","DbldCvsWT10h",-4.05859029500725,3.58786612909332e-07,4819561,4820676,"-"
"vnz_22100","DbldCcsWT14h",-4.63543106506946,2.4513181132383e-07,4819561,4820676,"-"
"vnz_23145","DbldCvsWT10h",-3.73999023062036,1.59296533518078e-06,5039685,5039882,"+"
"vnz_23145","DbldCcsWT14h",-6.07712743280035,2.4513181132383e-07,5039685,5039882,"+"
"vnz_27340","DbldCvsWT10h",0.396631576295073,0.0492845055187275,6008781,6009746,"+"
"vnz_27340","DbldCcsWT14h",4.01093139595991,2.4513181132383e-07,6008781,6009746,"+"
"vnz_30265","DbldCvsWT10h",-3.70396284245743,3.72045041806552e-07,6670767,6673670,"-"
"vnz_30265","DbldCcsWT14h",-4.12836814289477,2.4513181132383e-07,6670767,6673670,"-"
"vnz_30455","DbldCvsWT10h",-3.40467823220267,7.66186660444718e-07,6719994,6721397,"+"
"vnz_30455","DbldCcsWT14h",-4.43425906106693,2.4513181132383e-07,6719994,6721397,"+"
"vnz_35815","DbldCvsWT10h",-5.86220217006008,3.26823520513561e-07,7994401,7995234,"+"
"vnz_35815","DbldCcsWT14h",-6.29668570611971,2.4513181132383e-07,7994401,7995234,"+"
"vnz_31920","DbldCvsWT10h",-3.89031794451647,1.46474112103083e-06,7061655,7062026,"+"
"vnz_31920","DbldCcsWT14h",-6.06928201347759,2.48656931883846e-07,7061655,7062026,"+"
"vnz_17230","DbldCvsWT10h",-7.02130825697191,2.51269997626037e-07,3812053,3812970,"-"
"vnz_17230","DbldCcsWT14h",-0.237731236032804,0.446267111599325,3812053,3812970,"-"
"vnz_28200","DbldCvsWT10h",-6.02120320506775,2.51269997626037e-07,6187403,6188101,"-"
"vnz_28200","DbldCcsWT14h",-1.09771489935322,0.00188877214497357,6187403,6188101,"-"
"vnz_22960","DbldCvsWT10h",-5.48724513439197,8.76389480004796e-07,5001399,5001638,"+"
"vnz_22960","DbldCcsWT14h",-6.73446947486046,2.52243652748848e-07,5001399,5001638,"+"
"vnz_35640","DbldCvsWT10h",2.31650071244838,9.4674978054211e-06,7952824,7953624,"+"
"vnz_35640","DbldCcsWT14h",4.68593706574785,2.52243652748848e-07,7952824,7953624,"+"
"vnz_14045","DbldCvsWT10h",3.15049562016039,1.03343915360417e-06,3124429,3124611,"+"
"vnz_14045","DbldCcsWT14h",4.18718586767448,2.56216585246547e-07,3124429,3124611,"+"
"vnz_20180","DbldCvsWT10h",-3.86564154167646,4.8406007753311e-07,4431486,4432400,"-"
"vnz_20180","DbldCcsWT14h",-4.5802615933224,2.60873086069247e-07,4431486,4432400,"-"
"vnz_13900","DbldCvsWT10h",-6.59421633831834,2.6299159032329e-07,3105601,3105972,"+"
"vnz_13900","DbldCcsWT14h",-6.38353771276605,3.19058814488956e-07,3105601,3105972,"+"
"vnz_18620","DbldCvsWT10h",4.37346411329901,2.6299159032329e-07,4111292,4112137,"-"
"vnz_18620","DbldCcsWT14h",3.92992561656271,3.93023470140173e-07,4111292,4112137,"-"
"vnz_21560","DbldCvsWT10h",4.46593373888245,2.6299159032329e-07,4719135,4719425,"-"
"vnz_21560","DbldCcsWT14h",3.36704631187205,1.05145622498995e-06,4719135,4719425,"-"
"vnz_22985","DbldCvsWT10h",-6.57448323224243,2.6299159032329e-07,5005446,5005721,"+"
"vnz_22985","DbldCcsWT14h",-5.92461543380298,3.7640353668909e-07,5005446,5005721,"+"
"vnz_11590","DbldCvsWT10h",-4.34061560263108,6.77188710692413e-07,2561670,2562191,"-"
"vnz_11590","DbldCcsWT14h",-5.52211269642622,2.66286211641729e-07,2561670,2562191,"-"
"vnz_00230","DbldCvsWT10h",-4.75189911823764,2.6839380748868e-07,51760,52812,"+"
"vnz_00230","DbldCcsWT14h",-3.08110051996895,1.61759163559951e-06,51760,52812,"+"
"vnz_25635","DbldCvsWT10h",-4.24077066917933,3.42010660368889e-07,5602856,5605696,"+"
"vnz_25635","DbldCcsWT14h",-4.57042949664655,2.74341978407654e-07,5602856,5605696,"+"
"vnz_28890","DbldCvsWT10h",-7.9563953351074,2.753866922816e-07,6363647,6365464,"-"
"vnz_28890","DbldCcsWT14h",-3.31352315104891,2.02823362408827e-05,6363647,6365464,"-"
"vnz_28940","DbldCvsWT10h",-6.31797687197541,2.753866922816e-07,6379066,6379800,"-"
"vnz_28940","DbldCcsWT14h",-4.66945994212169,9.49562591897816e-07,6379066,6379800,"-"
"vnz_23450","DbldCvsWT10h",-3.95316613585905,1.15490227540313e-06,5102123,5102875,"+"
"vnz_23450","DbldCcsWT14h",-5.58255151828502,2.79048156544155e-07,5102123,5102875,"+"
"vnz_25200","DbldCvsWT10h",-6.02990155824776,2.82107366136592e-07,5490268,5491194,"-"
"vnz_25200","DbldCcsWT14h",-3.95170267908746,2.18841732063023e-06,5490268,5491194,"-"
"vnz_18830","DbldCvsWT10h",-4.55280505019603,3.72045041806552e-07,4149767,4151227,"+"
"vnz_18830","DbldCcsWT14h",-4.97893996565677,2.95510302832816e-07,4149767,4151227,"+"
"vnz_00155","DbldCvsWT10h",-4.10929503917902,3.00031548660621e-07,32629,35982,"-"
"vnz_00155","DbldCcsWT14h",-2.89783127479511,1.37324137742335e-06,32629,35982,"-"
"vnz_28150","DbldCvsWT10h",-7.51484088279133,3.00031548660621e-07,6176605,6178572,"-"
"vnz_28150","DbldCcsWT14h",-6.08714927548543,8.149861940354e-07,6176605,6178572,"-"
"vnz_09015","DbldCvsWT10h",-3.2307751767016,2.72430831067507e-06,2050914,2052470,"-"
"vnz_09015","DbldCcsWT14h",-5.48740178014025,3.02547656362174e-07,2050914,2052470,"-"
"vnz_14065","DbldCvsWT10h",2.8940117107868,1.98677324791132e-06,3125905,3127641,"+"
"vnz_14065","DbldCcsWT14h",4.24695032761644,3.02547656362174e-07,3125905,3127641,"+"
"vnz_31740","DbldCvsWT10h",-3.63984746608431,1.51823499318699e-06,7017909,7018430,"+"
"vnz_31740","DbldCcsWT14h",-5.30562042242422,3.02547656362174e-07,7017909,7018430,"+"
"vnz_21230","DbldCvsWT10h",-2.9352196565237,1.17664267497699e-06,4653135,4655363,"+"
"vnz_21230","DbldCcsWT14h",-4.01173439049577,3.03639947802857e-07,4653135,4655363,"+"
"vnz_30335","DbldCvsWT10h",-4.08515090368752,3.16127891046128e-07,6695441,6698236,"+"
"vnz_30335","DbldCcsWT14h",-2.39166476152045,4.10164720084833e-06,6695441,6698236,"+"
"vnz_32940","DbldCvsWT10h",-5.66040695079171,3.17687210407721e-07,7303708,7304880,"+"
"vnz_32940","DbldCcsWT14h",-2.63421423488576,1.22998786743065e-05,7303708,7304880,"+"
"vnz_20560","DbldCvsWT10h",-3.01695114824006,5.29820929965938e-06,4507234,4508082,"+"
"vnz_20560","DbldCcsWT14h",-5.46755118460933,3.19058814488956e-07,4507234,4508082,"+"
"vnz_14705","DbldCvsWT10h",-7.08778900140297,3.26823520513561e-07,3271306,3272064,"+"
