"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO0065",-0.070656327,0.606823018,"delgbn24h",51831,53144,1314,"+"
"SCO0066",0.072148321,0.657689167,"delgbn24h",53141,54100,960,"+"
"SCO0067",0.095572964,0.465618211,"delgbn24h",54097,54918,822,"+"
"SCO0068",-0.025742847,1,"delgbn24h",54968,56173,1206,"+"
"SCO0069",-0.149895866,0.376984871,"delgbn24h",56225,59383,3159,"+"
"SCO0070",0.022575278,1,"delgbn24h",59558,60241,684,"+"
"SCO0071",0.004041014,1,"delgbn24h",60069,60275,207,"-"
"SCO0072",0.095675915,0.624329558,"delgbn24h",60740,64093,3354,"-"
"SCO0073",0.009415014,1,"delgbn24h",64605,64925,321,"+"
"SCO0074",0.005085362,1,"delgbn24h",64994,65092,99,"+"
"SCO0075",0.091220402,0.579822879,"delgbn24h",65092,65679,588,"+"
"SCO0079",0.01204523,0.96852158,"delgbn24h",66688,67911,1224,"-"
"SCO0080",0.123525483,0.497950173,"delgbn24h",68372,68887,516,"+"
"SCO0083",-0.040868691,0.782234155,"delgbn24h",69799,70647,849,"+"
"SCO0084",0.009304109,0.972595405,"delgbn24h",70777,71235,459,"+"
"SCO0085",0.10938533,0.402149386,"delgbn24h",71648,72139,492,"-"
"SCO0086",0.050631231,0.816972112,"delgbn24h",72159,73097,939,"-"
"SCO0087",0.506853051,0.05603368,"delgbn24h",73784,74833,1050,"-"
"SCO0088",0.06852763,0.714523109,"delgbn24h",74917,75876,960,"-"
"SCO0089",0.286765143,0.046859474,"delgbn24h",75856,76893,1038,"+"
"SCO0091",0.058353886,0.767856308,"delgbn24h",77315,78271,957,"+"
"SCO0095",0.059523007,1,"delgbn24h",78983,79702,720,"-"
"SCO0096",0.00461533,0.988394896,"delgbn24h",79839,80690,852,"-"
"SCO0097",-0.025624231,0.922108993,"delgbn24h",80845,81165,321,"-"
"SCO0098",-0.063436669,0.7642851,"delgbn24h",81602,82441,840,"-"
"SCO0101",-0.054284411,0.804685151,"delgbn24h",83516,84259,744,"-"
"SCO0102",-0.194030291,0.302811701,"delgbn24h",84893,85339,447,"+"
"SCO0103",-0.012371413,0.968486363,"delgbn24h",85336,86643,1308,"+"
"SCO0104",0.108359601,0.56136116,"delgbn24h",86640,87311,672,"+"
"SCO0105",-0.206470092,0.27344755,"delgbn24h",87907,88632,726,"-"
"SCO0106",0.29634634,0.127184953,"delgbn24h",89073,89465,393,"+"
"SCO0107",0.208044061,0.212353564,"delgbn24h",89486,90043,558,"-"
"SCO0108",-0.001430815,1,"delgbn24h",90242,90391,150,"+"
"SCO0109",0.100579077,0.521222776,"delgbn24h",90395,90865,471,"-"
"SCO0110",0.005097989,0.988586329,"delgbn24h",90951,91790,840,"-"
"SCO0111",-0.011360112,1,"delgbn24h",91977,92729,753,"+"
"SCO0112",-0.043835001,1,"delgbn24h",92773,92928,156,"-"
"SCO0116",0.042742696,0.85579755,"delgbn24h",94306,94872,567,"-"
"SCO0117",0.112857279,0.390516214,"delgbn24h",94989,95681,693,"+"
"SCO0118",0.567226142,2.54e-10,"delgbn24h",95989,97518,1530,"+"
"SCO0119",0.044899963,0.834837785,"delgbn24h",97760,98281,522,"-"
"SCO0120",-0.025639627,0.920422404,"delgbn24h",98463,99338,876,"-"
"SCO0121",-0.037811766,0.875425003,"delgbn24h",99335,99949,615,"-"
"SCO0122",-0.118237407,0.517095751,"delgbn24h",100190,101566,1377,"+"
"SCO0123",-0.198346685,0.27753356,"delgbn24h",101656,103002,1347,"-"
"SCO0124",0.065853309,0.752473401,"delgbn24h",103628,104989,1362,"+"
"SCO0125",0.012679168,0.968486363,"delgbn24h",105057,106640,1584,"+"
"SCO0126",0.000867325,0.9970555,"delgbn24h",106637,112885,6249,"+"
"SCO0127",0.050622013,0.825891867,"delgbn24h",112932,119654,6723,"+"
"SCO0128",-0.010222119,0.967053028,"delgbn24h",119651,119833,183,"+"
"SCO0129",0.005407053,0.988381795,"delgbn24h",119841,120215,375,"+"
"SCO0130",0.334583231,0.138312168,"delgbn24h",120457,121371,915,"+"
"SCO0131",0.031984587,1,"delgbn24h",121617,122456,840,"-"
"SCO0132",-0.082908066,0.657571062,"delgbn24h",122743,125502,2760,"+"
"SCO0133",0.004070491,0.983021713,"delgbn24h",125625,126005,381,"-"
"SCO0134",-0.049579508,0.748969944,"delgbn24h",126989,127294,306,"-"
"SCO0135",-0.027609235,0.917235095,"delgbn24h",127571,128290,720,"+"
"SCO0136",-0.067965856,0.755643905,"delgbn24h",128634,130184,1551,"-"
"SCO0137",0.171513373,0.34971811,"delgbn24h",130201,131001,801,"-"
"SCO0138",0.108184287,0.404393997,"delgbn24h",131523,132296,774,"+"
"SCO0139",-0.03830704,0.767142113,"delgbn24h",132327,132647,321,"+"
"SCO0140",0.007188724,0.983021713,"delgbn24h",132693,133520,828,"+"
"SCO0141",-0.05857189,0.784220697,"delgbn24h",133570,134121,552,"-"
"SCO0142",-0.131755267,0.482738432,"delgbn24h",134295,136100,1806,"-"
"SCO0143",-0.096424845,0.589253321,"delgbn24h",136647,137183,537,"+"
"SCO0144",-0.329981231,0.137872734,"delgbn24h",137197,137556,360,"+"
"SCO0145",0.080227504,0.70686501,"delgbn24h",137561,138589,1029,"+"
"SCO0147",-0.043087233,0.842893011,"delgbn24h",138976,139467,492,"+"
"SCO0148",0.018253632,0.930128489,"delgbn24h",139467,139712,246,"+"
"SCO0149",-0.034315052,0.885936637,"delgbn24h",139703,140299,597,"-"
"SCO0150",-0.003724846,0.989032537,"delgbn24h",140368,140862,495,"+"
"SCO0151",0.028627043,1,"delgbn24h",141370,141708,339,"+"
"SCO0152",0.043134137,0.796117319,"delgbn24h",141705,143315,1611,"+"
"SCO0153",-0.069816774,0.725840507,"delgbn24h",143776,144363,588,"-"
"SCO0154",-0.04196345,1,"delgbn24h",144704,145366,663,"-"
"SCO0155",0.057781862,0.791712234,"delgbn24h",145499,146122,624,"+"
"SCO0156",0.027872223,0.888500438,"delgbn24h",146034,146351,318,"-"
"SCO0157",-0.006527137,1,"delgbn24h",146603,146980,378,"+"
"SCO0158",0.041832626,0.772382624,"delgbn24h",146977,148206,1230,"+"
"SCO0159",0.723773332,0.014868078,"delgbn24h",148216,149184,969,"+"
"SCO0160",0.003987128,0.988381795,"delgbn24h",149508,150209,702,"-"
"SCO0161",-0.004093823,1,"delgbn24h",150181,150525,345,"-"
"SCO0162",-0.01066538,0.960496653,"delgbn24h",150579,151571,993,"+"
"SCO0163",0.1242985,0.440157495,"delgbn24h",151749,153275,1527,"+"
"SCO0164",0.54664861,0.059024085,"delgbn24h",153398,155728,2331,"+"
"SCO0165",0.736022948,0.009540117,"delgbn24h",155707,156120,414,"-"
"SCO0166",-0.004656394,0.988586329,"delgbn24h",156338,157141,804,"+"
"SCO0167",0.12691482,0.477366155,"delgbn24h",157189,158073,885,"-"
"SCO0168",0.128020741,0.452774133,"delgbn24h",158732,159304,573,"+"
"SCO0169",0.063365754,0.758182269,"delgbn24h",159372,160025,654,"+"
"SCO0170",0.006944965,0.980338305,"delgbn24h",160356,161027,672,"-"
"SCO0171",-0.036585903,1,"delgbn24h",161237,162553,1317,"+"
"SCO0172",-0.014430797,0.940595386,"delgbn24h",162661,163119,459,"+"
"SCO0173",0.085342507,0.638916137,"delgbn24h",163235,164017,783,"-"
"SCO0174",0.002104466,0.983021713,"delgbn24h",164023,164994,972,"-"
"SCO0175",-0.010758951,1,"delgbn24h",165059,165406,348,"-"
"SCO0176",-0.01653141,1,"delgbn24h",165460,165855,396,"+"
"SCO0177",-0.036895131,1,"delgbn24h",166033,166614,582,"+"
"SCO0178",-0.001153454,0.99395111,"delgbn24h",166891,167337,447,"+"
"SCO0179",0.009097348,0.973635364,"delgbn24h",167444,168514,1071,"-"
"SCO0180",0.009681736,0.965771027,"delgbn24h",168705,169556,852,"-"
"SCO0181",0.04382564,0.680922728,"delgbn24h",169584,170570,987,"-"
"SCO0182",-0.008568859,1,"delgbn24h",170656,170880,225,"-"
"SCO0183",-0.014168873,1,"delgbn24h",170911,172158,1248,"+"
"SCO0184",0.012499682,1,"delgbn24h",172170,173984,1815,"+"
"SCO0185",-1.895230317,2.29e-07,"delgbn24h",173768,174946,1179,"+"
"SCO0186",0.069361514,0.716153308,"delgbn24h",174943,176514,1572,"+"
"SCO0187",-0.082940319,0.569549933,"delgbn24h",176501,177496,996,"+"
"SCO0188",-0.357419632,0.128999503,"delgbn24h",177493,178503,1011,"+"
"SCO0189",-0.388414078,0.065491915,"delgbn24h",178519,180087,1569,"-"
"SCO0190",-0.209192708,0.271217094,"delgbn24h",180084,180824,741,"-"
"SCO0191",-0.568283024,0.014868078,"delgbn24h",180821,182038,1218,"-"
"SCO0192",-1.545318801,5.01e-06,"delgbn24h",182309,183559,1251,"-"
"SCO0193",-1.453995319,0.005043596,"delgbn24h",183793,184797,1005,"-"
"SCO0194",-0.076810314,0.24422068,"delgbn24h",184958,185566,609,"+"
"SCO0195",-0.054758835,0.199599671,"delgbn24h",185675,186361,687,"+"
"SCO0196",-0.107759659,0.016206246,"delgbn24h",186483,186887,405,"+"
"SCO0197",-2.19735113,3.55e-07,"delgbn24h",187019,187459,441,"-"
"SCO0198",-0.000976873,0.995857689,"delgbn24h",187992,188858,867,"-"
"SCO0199",0.056522295,0.665366279,"delgbn24h",188864,189886,1023,"-"
"SCO0200",-0.006555107,0.97968325,"delgbn24h",189925,190830,906,"-"
"SCO0201",-0.023258293,1,"delgbn24h",190983,191654,672,"-"
"SCO0202",0.01411188,0.961314562,"delgbn24h",191919,192848,930,"+"
"SCO0203",0.006051706,0.979797519,"delgbn24h",192880,194637,1758,"-"
"SCO0204",0.022288086,0.936813009,"delgbn24h",194760,195461,702,"-"
"SCO0207",-0.028451509,1,"delgbn24h",196386,196991,606,"-"
"SCO0208",0.345296738,0.134591412,"delgbn24h",197221,199917,2697,"+"
"SCO0209",0.054154209,0.648064828,"delgbn24h",200024,200428,405,"+"
"SCO0210",-0.030910953,1,"delgbn24h",200728,201369,642,"+"
"SCO0211",0.109546058,0.188551079,"delgbn24h",201374,202090,717,"+"
"SCO0212",0.057826143,0.695598454,"delgbn24h",202370,202843,474,"-"
"SCO0213",0.059899894,0.653182337,"delgbn24h",202863,204101,1239,"-"
"SCO0214",-0.008667418,1,"delgbn24h",204387,204800,414,"+"
"SCO0215",1.100766485,0.044463959,"delgbn24h",204881,205888,1008,"-"
"SCO0216",0.043745662,0.845831039,"delgbn24h",206480,210181,3702,"+"
"SCO0217",0.011018948,0.951719817,"delgbn24h",210183,211751,1569,"+"
"SCO0218",0.000155599,1,"delgbn24h",211748,212551,804,"+"
"SCO0219",0.079345127,0.495222604,"delgbn24h",212551,213321,771,"+"
"SCO0220",0.050429283,1,"delgbn24h",213427,213870,444,"+"
"SCO0222",-0.078726618,0.692757549,"delgbn24h",214913,215446,534,"+"
"SCO0223",-0.119558114,0.534604435,"delgbn24h",215443,215559,117,"+"
"SCO0224",-0.886959377,0.001805664,"delgbn24h",215807,216844,1038,"-"
"SCO0225",0.088129339,0.561880875,"delgbn24h",216834,217268,435,"-"
"SCO0226",0.282006254,0.137846625,"delgbn24h",217315,218019,705,"-"
"SCO0227",0.001592937,1,"delgbn24h",218418,218780,363,"-"
"SCO0228",-0.007476535,1,"delgbn24h",218973,219059,87,"+"
"SCO0229",-0.130987498,0.481937243,"delgbn24h",219302,220150,849,"+"
"SCO0230",-0.191528649,0.290260485,"delgbn24h",220150,220764,615,"+"
"SCO0231",-0.06437737,0.630500073,"delgbn24h",221092,221247,156,"-"
"SCO0232",0.022606701,1,"delgbn24h",221414,221599,186,"-"
"SCO0233",0.178727979,0.325233083,"delgbn24h",221699,222538,840,"-"
"SCO0234",0.011894418,1,"delgbn24h",222827,223288,462,"+"
"SCO0235",0.116387848,0.541237514,"delgbn24h",223294,224232,939,"+"
"SCO0236",-0.00532419,0.988178492,"delgbn24h",224404,225276,873,"-"
"SCO0237",0.146810316,0.128860485,"delgbn24h",225476,226237,762,"+"
"SCO0238",0.033906146,0.85623815,"delgbn24h",226481,227008,528,"+"
"SCO0239",0.130064164,0.460335228,"delgbn24h",227081,228154,1074,"-"
"SCO0240",0.001348107,0.994802123,"delgbn24h",228714,229649,936,"-"
"SCO0241",-0.023429932,0.920883039,"delgbn24h",229995,230669,675,"+"
"SCO0242",0.058400087,0.784722772,"delgbn24h",231022,231465,444,"+"
"SCO0243",0.04435039,0.850566361,"delgbn24h",231475,231654,180,"+"
"SCO0244",-0.015773691,0.95825615,"delgbn24h",232508,233518,1011,"+"
"SCO0245",0.054398069,0.80292617,"delgbn24h",233854,234873,1020,"-"
"SCO0246",0.107549679,0.552659713,"delgbn24h",234870,236207,1338,"-"
"SCO0247",0.704962826,8.63e-10,"delgbn24h",236782,237807,1026,"+"
"SCO0248",0.570847409,0.000107102,"delgbn24h",237664,238251,588,"-"
"SCO0249",0.632454333,0.000125366,"delgbn24h",238280,239794,1515,"-"
"SCO0250",0.078825722,0.705047654,"delgbn24h",239858,240523,666,"+"
"SCO0251",-0.077072232,0.67956374,"delgbn24h",240559,240843,285,"-"
"SCO0252",0.044500026,0.847739255,"delgbn24h",240876,242123,1248,"-"
"SCO0253",0.076693999,0.714523109,"delgbn24h",242194,242766,573,"+"
"SCO0254",0.146297363,0.391272907,"delgbn24h",243022,243762,741,"-"
"SCO0255",-0.245796819,0.194254129,"delgbn24h",243936,245672,1737,"-"
"SCO0256",-0.873567579,7.89e-06,"delgbn24h",245986,246783,798,"+"
"SCO0257",-0.747858238,0.000176363,"delgbn24h",246868,247869,1002,"+"
"SCO0258",-0.885459799,6.41e-08,"delgbn24h",247871,248680,810,"+"
"SCO0259",-0.808767075,1.21e-06,"delgbn24h",248677,249702,1026,"+"
"SCO0260",-0.280558219,0.061541383,"delgbn24h",249755,250084,330,"+"
"SCO0261",-0.020562318,0.93989444,"delgbn24h",250164,250691,528,"-"
"SCO0262",0.00347714,0.99123491,"delgbn24h",250805,251740,936,"+"
"SCO0263",-0.045212352,0.835232596,"delgbn24h",251764,252879,1116,"-"
"SCO0264",0.085506673,0.661383777,"delgbn24h",252946,253398,453,"+"
"SCO0265",0.148935661,0.325626356,"delgbn24h",253499,254290,792,"+"
"SCO0266",0.130189586,0.493669952,"delgbn24h",254332,255309,978,"-"
"SCO0267",0.047481855,0.715299682,"delgbn24h",255311,256087,777,"+"
"SCO0268",0.359809728,0.04185456,"delgbn24h",256281,256442,162,"+"
"SCO0269",0.290099214,0.05678876,"delgbn24h",256526,259687,3162,"+"
"SCO0270",0.078409326,0.70805965,"delgbn24h",259684,261084,1401,"+"
"SCO0271",0.058380366,0.747754527,"delgbn24h",261366,262319,954,"+"
"SCO0272",-0.056452064,1,"delgbn24h",262330,263220,891,"+"
"SCO0273",-0.056095384,0.758318752,"delgbn24h",263285,264634,1350,"+"
"SCO0274",-0.033969874,0.85623815,"delgbn24h",264764,266263,1500,"+"
"SCO0275",0.010014609,0.973727314,"delgbn24h",266356,267513,1158,"+"
"SCO0276",0.006743158,0.984093428,"delgbn24h",267585,268838,1254,"+"
"SCO0277",-0.071748989,0.731423454,"delgbn24h",269020,269688,669,"-"
"SCO0278",0.07994578,0.616279666,"delgbn24h",269783,270397,615,"+"
"SCO0279",0.02285511,0.935680499,"delgbn24h",270477,271748,1272,"+"
"SCO0280",-0.005166917,0.988381795,"delgbn24h",271768,272469,702,"-"
"SCO0281",-0.055535067,0.70686501,"delgbn24h",272466,272834,369,"-"
"SCO0282",0.058816663,0.788115139,"delgbn24h",272892,273656,765,"+"
"SCO0283",0.015011688,0.944755243,"delgbn24h",274101,274595,495,"-"
"SCO0284",-0.072880833,0.717344012,"delgbn24h",274763,276805,2043,"+"
"SCO0285",0.055423779,0.804864879,"delgbn24h",276938,278827,1890,"+"
"SCO0286",-0.006978431,0.983021713,"delgbn24h",278910,279416,507,"-"
"SCO0287",0.075277286,0.718821819,"delgbn24h",279691,280695,1005,"+"
"SCO0288",0.024380616,0.924902739,"delgbn24h",280692,281132,441,"-"
"SCO0289",0.097455086,0.603832256,"delgbn24h",281129,282157,1029,"-"
"SCO0290",0.031507431,0.812266365,"delgbn24h",282491,283801,1311,"+"
"SCO0291",0.02635068,0.892134966,"delgbn24h",283798,284700,903,"+"
"SCO0292",0.016488193,0.93874382,"delgbn24h",284702,285598,897,"+"
"SCO0293",0.088423504,0.633939613,"delgbn24h",285714,288104,2391,"+"
"SCO0294",0.111290138,0.569549933,"delgbn24h",288187,288840,654,"-"
"SCO0295",0.020086186,0.940595386,"delgbn24h",288987,290456,1470,"-"
"SCO0296",0.027063798,0.915766218,"delgbn24h",290584,291165,582,"+"
"SCO0297",1.006305639,1.29e-08,"delgbn24h",291315,292592,1278,"+"
"SCO0298",0.802527084,5.19e-08,"delgbn24h",292656,293519,864,"-"
"SCO0299",0.469788537,0.015873583,"delgbn24h",293613,294497,885,"+"
"SCO0300",0.107963878,0.539410411,"delgbn24h",294494,296305,1812,"-"
"SCO0301",0.074611422,0.690993567,"delgbn24h",296471,297499,1029,"+"
"SCO0302",-0.007083994,0.983021713,"delgbn24h",297515,298108,594,"-"
"SCO0303",0.025854904,1,"delgbn24h",298105,298311,207,"-"
"SCO0304",0.025467943,1,"delgbn24h",298468,298836,369,"-"
"SCO0305",0.181545667,0.197490244,"delgbn24h",299213,302092,2880,"+"
"SCO0307",-0.01491862,0.958717897,"delgbn24h",303084,303971,888,"+"
"SCO0308",0.08070378,0.685571536,"delgbn24h",304026,305429,1404,"+"
"SCO0309",0.014905289,0.961314562,"delgbn24h",305537,306625,1089,"-"
"SCO0310",-0.143091505,0.442341379,"delgbn24h",306816,307466,651,"-"
"SCO0311",0.113076731,1,"delgbn24h",307575,309131,1557,"+"
"SCO0312",0.060897947,1,"delgbn24h",309147,310316,1170,"+"
"SCO0313",0.090889745,1,"delgbn24h",310378,311727,1350,"+"
"SCO0314",0.008627766,0.97067729,"delgbn24h",311724,313670,1947,"+"
"SCO0315",0.06778133,0.741778979,"delgbn24h",313697,315055,1359,"-"
"SCO0316",0.090219564,0.649930735,"delgbn24h",315254,316921,1668,"-"
"SCO0317",0.081721377,0.6990888,"delgbn24h",316975,318237,1263,"-"
"SCO0318",-0.024785774,0.852166429,"delgbn24h",318329,319345,1017,"-"
"SCO0319",-4.14579333,5.79e-18,"delgbn24h",319499,320008,510,"-"
"SCO0320",-4.011294168,2.48e-20,"delgbn24h",320110,320583,474,"+"
"SCO0321",-1.396624547,2.14e-08,"delgbn24h",320699,322255,1557,"+"
"SCO0322",0.130114328,0.483487493,"delgbn24h",322244,323938,1695,"-"
"SCO0323",-0.081407074,0.598496261,"delgbn24h",324467,325069,603,"-"
"SCO0324",-0.038649366,0.826941425,"delgbn24h",325238,327616,2379,"-"
"SCO0325",-0.005833991,1,"delgbn24h",327899,328264,366,"+"
"SCO0326",0.185966004,0.319760862,"delgbn24h",328333,329301,969,"+"
"SCO0329",0.153475417,0.411912671,"delgbn24h",330235,331365,1131,"+"
"SCO0330",0.075122767,0.681178325,"delgbn24h",331504,332253,750,"+"
"SCO0331",0.098655558,0.541237514,"delgbn24h",332311,333210,900,"+"
"SCO0332",0.040158285,0.85623815,"delgbn24h",333529,334149,621,"+"
"SCO0333",-0.076047093,0.704782501,"delgbn24h",334223,335734,1512,"-"
"SCO0334",-0.003016767,1,"delgbn24h",335948,336292,345,"+"
"SCO0335",0.046594455,0.840724949,"delgbn24h",336333,339467,3135,"+"
"SCO0336",-0.048818712,0.790292084,"delgbn24h",339521,340630,1110,"-"
"SCO0337",0.130223456,0.482863334,"delgbn24h",340752,341318,567,"+"
"SCO0338",-0.033076176,0.892134966,"delgbn24h",341370,341909,540,"-"
"SCO0339",-0.016062914,0.941216934,"delgbn24h",341992,342561,570,"+"
"SCO0340",-0.080436409,0.689713408,"delgbn24h",342578,343165,588,"-"
"SCO0341",0.057629326,0.615475599,"delgbn24h",343234,345663,2430,"-"
"SCO0342",0.08963064,0.546295203,"delgbn24h",345817,347706,1890,"-"
"SCO0343",-0.021699648,1,"delgbn24h",347814,348083,270,"+"
"SCO0344",-0.032491593,0.895815895,"delgbn24h",348137,349381,1245,"+"
"SCO0345",0.057948878,0.792372046,"delgbn24h",349419,350201,783,"-"
"SCO0346",-0.067961903,0.637385963,"delgbn24h",350474,351352,879,"+"
"SCO0347",-0.062092266,0.753615961,"delgbn24h",351529,352779,1251,"+"
"SCO0348",-0.042907766,0.831823496,"delgbn24h",352776,353795,1020,"+"
"SCO0349",-0.120511743,0.342912931,"delgbn24h",353801,354805,1005,"+"
"SCO0350",0.08439189,0.589766194,"delgbn24h",354802,355686,885,"+"
"SCO0351",-0.028257264,0.888813561,"delgbn24h",355683,357158,1476,"+"
"SCO0352",-0.028790414,0.90081576,"delgbn24h",357209,358477,1269,"+"
"SCO0353",-0.027436578,0.897723088,"delgbn24h",358481,359392,912,"+"
"SCO0354",0.00117408,0.994802123,"delgbn24h",359389,360231,843,"+"
"SCO0355",0.02234068,1,"delgbn24h",360305,360646,342,"+"
"SCO0356",0.125617144,0.476276204,"delgbn24h",360674,361465,792,"+"
"SCO0357",-0.037192572,0.86508736,"delgbn24h",361759,362478,720,"-"
"SCO0358",-0.033260854,0.894075796,"delgbn24h",362635,363777,1143,"+"
"SCO0359",-0.002476961,0.991270352,"delgbn24h",363774,364496,723,"+"
"SCO0360",-0.019598618,0.93668782,"delgbn24h",364559,365551,993,"-"
"SCO0361",0.006742129,0.983021713,"delgbn24h",365623,366795,1173,"-"
"SCO0362",0.071045841,0.605025547,"delgbn24h",366935,368146,1212,"+"
"SCO0363",-0.083429994,1,"delgbn24h",368143,369252,1110,"+"
"SCO0364",-0.073101549,1,"delgbn24h",369249,370055,807,"+"
"SCO0365",-0.013264314,0.940595386,"delgbn24h",370066,370812,747,"+"
"SCO0366",0.15565209,0.283137434,"delgbn24h",370809,371876,1068,"+"
"SCO0367",-0.162322335,0.22402412,"delgbn24h",371921,372478,558,"-"
"SCO0368",0.016288706,0.954258742,"delgbn24h",373045,374001,957,"+"
"SCO0369",-0.224160447,0.21125593,"delgbn24h",373998,377255,3258,"-"
"SCO0370",0.026913793,0.88337401,"delgbn24h",377286,380690,3405,"-"
"SCO0371",0.049772428,0.705758068,"delgbn24h",380751,383360,2610,"-"
"SCO0372",0.015917556,0.951449297,"delgbn24h",383578,386592,3015,"-"
"SCO0373",0.031562478,0.892134966,"delgbn24h",386761,387360,600,"-"
"SCO0374",0.368360391,0.001758613,"delgbn24h",387750,389519,1770,"+"
"SCO0375",0.307327951,0.051207872,"delgbn24h",389531,391123,1593,"-"
"SCO0376",0.075269392,0.719944488,"delgbn24h",391232,391834,603,"+"
"SCO0377",-0.026066923,0.921516203,"delgbn24h",391950,392483,534,"-"
"SCO0378",0.057799267,0.786880402,"delgbn24h",392484,393218,735,"-"
"SCO0379",0.061494174,0.752806603,"delgbn24h",393498,394961,1464,"+"
"SCO0380",0.065513999,0.758318142,"delgbn24h",395065,395460,396,"+"
"SCO0381",-0.779971404,9.62e-11,"delgbn24h",395939,397414,1476,"+"
"SCO0382",-0.67041057,1.16e-09,"delgbn24h",397485,398810,1326,"+"
"SCO0383",-0.648207553,2.79e-08,"delgbn24h",398881,400104,1224,"+"
"SCO0384",-0.690323371,2.55e-09,"delgbn24h",400179,401468,1290,"+"
"SCO0385",-0.580899154,1.33e-06,"delgbn24h",401465,403030,1566,"+"
